 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 19, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/9Li_silicon.txt

 Ion = Lithium [3] , Mass = 9.02679 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.873E+01  3.652E+01     687 A       386 A       299 A   
  11.00 keV   6.159E+01  3.534E+01     755 A       414 A       323 A   
  12.00 keV   6.433E+01  3.424E+01     823 A       441 A       346 A   
  13.00 keV   6.696E+01  3.321E+01     891 A       467 A       369 A   
  14.00 keV   6.949E+01  3.226E+01     958 A       492 A       391 A   
  15.00 keV   7.193E+01  3.136E+01    1026 A       517 A       413 A   
  16.00 keV   7.428E+01  3.053E+01    1093 A       540 A       434 A   
  17.00 keV   7.657E+01  2.974E+01    1160 A       563 A       455 A   
  18.00 keV   7.879E+01  2.900E+01    1227 A       585 A       476 A   
  20.00 keV   8.329E+01  2.765E+01    1360 A       627 A       516 A   
  22.50 keV   8.855E+01  2.615E+01    1524 A       676 A       563 A   
  25.00 keV   9.341E+01  2.483E+01    1685 A       722 A       609 A   
  27.50 keV   9.787E+01  2.365E+01    1845 A       764 A       652 A   
  30.00 keV   1.019E+02  2.261E+01    2003 A       804 A       694 A   
  32.50 keV   1.056E+02  2.166E+01    2159 A       842 A       734 A   
  35.00 keV   1.090E+02  2.080E+01    2314 A       878 A       773 A   
  37.50 keV   1.121E+02  2.002E+01    2467 A       912 A       810 A   
  40.00 keV   1.151E+02  1.931E+01    2619 A       945 A       846 A   
  45.00 keV   1.210E+02  1.804E+01    2920 A      1006 A       914 A   
