 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/2H_900mb_CF4_95-05.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.296E-02  3.884E-04  931.71 um   196.82 um   210.80 um  
  11.00 keV   1.359E-02  3.626E-04  999.94 um   202.56 um   219.49 um  
  12.00 keV   1.419E-02  3.404E-04    1.07 mm   207.68 um   227.45 um  
  13.00 keV   1.477E-02  3.210E-04    1.13 mm   212.29 um   234.78 um  
  14.00 keV   1.532E-02  3.039E-04    1.19 mm   216.47 um   241.56 um  
  15.00 keV   1.586E-02  2.887E-04    1.25 mm   220.29 um   247.87 um  
  16.00 keV   1.637E-02  2.751E-04    1.31 mm   223.78 um   253.76 um  
  17.00 keV   1.686E-02  2.629E-04    1.37 mm   227.01 um   259.28 um  
  18.00 keV   1.734E-02  2.519E-04    1.42 mm   229.99 um   264.47 um  
  20.00 keV   1.825E-02  2.325E-04    1.53 mm   235.57 um   274.00 um  
  22.50 keV   1.930E-02  2.125E-04    1.65 mm   241.71 um   284.59 um  
  25.00 keV   2.026E-02  1.960E-04    1.78 mm   247.01 um   293.99 um  
  27.50 keV   2.115E-02  1.821E-04    1.89 mm   251.67 um   302.44 um  
  30.00 keV   2.197E-02  1.702E-04    2.00 mm   255.80 um   310.10 um  
  32.50 keV   2.273E-02  1.598E-04    2.11 mm   259.52 um   317.12 um  
