 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/10He_silicon.txt

 Ion = Helium [2] , Mass = 10.05282 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   2.257E+02  2.465E-01   20.01 um     7481 A      6893 A   
   6.00 MeV   2.157E+02  2.286E-01   22.27 um     8210 A      7246 A   
   6.50 MeV   2.066E+02  2.133E-01   24.63 um     8939 A      7616 A   
   7.00 MeV   1.984E+02  2.000E-01   27.10 um     9671 A      8002 A   
   8.00 MeV   1.841E+02  1.781E-01   32.32 um     1.23 um     8822 A   
   9.00 MeV   1.722E+02  1.607E-01   37.93 um     1.48 um     9706 A   
  10.00 MeV   1.619E+02  1.466E-01   43.91 um     1.72 um     1.07 um  
  11.00 MeV   1.531E+02  1.348E-01   50.25 um     1.95 um     1.17 um  
  12.00 MeV   1.453E+02  1.249E-01   56.95 um     2.18 um     1.27 um  
  13.00 MeV   1.385E+02  1.164E-01   63.99 um     2.41 um     1.38 um  
  14.00 MeV   1.323E+02  1.091E-01   71.37 um     2.64 um     1.50 um  
  15.00 MeV   1.268E+02  1.027E-01   79.08 um     2.88 um     1.62 um  
  16.00 MeV   1.219E+02  9.700E-02   87.11 um     3.11 um     1.75 um  
  17.00 MeV   1.173E+02  9.195E-02   95.46 um     3.34 um     1.88 um  
  18.00 MeV   1.132E+02  8.742E-02  104.13 um     3.58 um     2.01 um  
  20.00 MeV   1.059E+02  7.965E-02  122.39 um     4.44 um     2.30 um  
  22.50 MeV   9.731E+01  7.176E-02  147.00 um     5.68 um     2.67 um  
  25.00 MeV   8.953E+01  6.536E-02  173.76 um     6.87 um     3.08 um  
  27.50 MeV   8.382E+01  6.005E-02  202.59 um     8.03 um     3.52 um  
  30.00 MeV   7.888E+01  5.558E-02  233.31 um     9.18 um     3.99 um  
  32.50 MeV   7.455E+01  5.175E-02  265.88 um    10.31 um     4.48 um  
  35.00 MeV   7.072E+01  4.845E-02  300.28 um    11.45 um     4.99 um  
  37.50 MeV   6.731E+01  4.555E-02  336.48 um    12.60 um     5.53 um  
  40.00 MeV   6.425E+01  4.300E-02  374.46 um    13.75 um     6.09 um  
  45.00 MeV   5.898E+01  3.870E-02  455.62 um    18.01 um     7.28 um  
  50.00 MeV   5.460E+01  3.522E-02  543.67 um    22.00 um     8.57 um  
  55.00 MeV   5.088E+01  3.233E-02  638.47 um    25.87 um     9.94 um  
  60.00 MeV   4.769E+01  2.991E-02  739.91 um    29.70 um    11.40 um  
  65.00 MeV   4.491E+01  2.783E-02  847.87 um    33.52 um    12.94 um  
  70.00 MeV   4.248E+01  2.604E-02  962.26 um    37.35 um    14.57 um  
  80.00 MeV   3.839E+01  2.309E-02    1.21 mm    51.43 um    18.07 um  
  90.00 MeV   3.509E+01  2.076E-02    1.48 mm    64.50 um    21.88 um  
 100.00 MeV   3.237E+01  1.888E-02    1.78 mm    77.21 um    26.00 um  
 110.00 MeV   3.008E+01  1.732E-02    2.10 mm    89.81 um    30.42 um  
 120.00 MeV   2.812E+01  1.601E-02    2.44 mm   102.43 um    35.13 um  
 130.00 MeV   2.643E+01  1.489E-02    2.81 mm   115.15 um    40.13 um  
 140.00 MeV   2.494E+01  1.392E-02    3.20 mm   127.99 um    45.41 um  
 150.00 MeV   2.364E+01  1.308E-02    3.61 mm   141.00 um    50.97 um  
 160.00 MeV   2.247E+01  1.234E-02    4.04 mm   154.17 um    56.80 um  
 170.00 MeV   2.143E+01  1.168E-02    4.50 mm   167.53 um    62.91 um  
 180.00 MeV   2.049E+01  1.108E-02    4.98 mm   181.06 um    69.27 um  
 200.00 MeV   1.887E+01  1.007E-02    5.99 mm   232.10 um    82.80 um  
 225.00 MeV   1.720E+01  9.049E-03    7.38 mm   305.04 um   101.13 um  
 250.00 MeV   1.583E+01  8.221E-03    8.89 mm   373.91 um   121.01 um  
 275.00 MeV   1.468E+01  7.537E-03   10.53 mm   441.19 um   142.40 um  
 300.00 MeV   1.371E+01  6.962E-03   12.30 mm   507.98 um   165.26 um  
 325.00 MeV   1.287E+01  6.471E-03   14.18 mm   574.85 um   189.54 um  
 350.00 MeV   1.214E+01  6.048E-03   16.17 mm   642.11 um   215.23 um  
 375.00 MeV   1.150E+01  5.678E-03   18.29 mm   709.94 um   242.28 um  
 400.00 MeV   1.094E+01  5.353E-03   20.52 mm   778.46 um   270.68 um  
 450.00 MeV   9.975E+00  4.806E-03   25.30 mm     1.03 mm   331.41 um  
 500.00 MeV   9.190E+00  4.363E-03   30.52 mm     1.27 mm   397.20 um  
 550.00 MeV   8.536E+00  3.998E-03   36.17 mm     1.51 mm   467.87 um  
 600.00 MeV   7.982E+00  3.692E-03   42.22 mm     1.74 mm   543.25 um  
 650.00 MeV   7.508E+00  3.430E-03   48.68 mm     1.97 mm   623.18 um  
 700.00 MeV   7.096E+00  3.204E-03   55.52 mm     2.20 mm   707.52 um  
 800.00 MeV   6.415E+00  2.834E-03   70.34 mm     3.04 mm   888.91 um  
 900.00 MeV   5.876E+00  2.543E-03   86.62 mm     3.83 mm     1.09 mm  
   1.00 GeV   5.438E+00  2.308E-03  104.31 mm     4.58 mm     1.30 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.3083E-03                keV / (ug/cm2) 
  4.3083E-03                MeV / (mg/cm2) 
  4.3083E+00                keV / (mg/cm2) 
  2.0093E-01                 eV / (1E15 atoms/cm2)
  8.7499E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
