 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3H_900mb_CF4_95-05.txt

 Ion = Hydrogen [1] , Mass = 3.016049 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   8.100E-03  5.465E-06  207.43 mm     8.28 mm     3.72 mm  
   3.00 MeV   7.617E-03  5.058E-06  239.23 mm     9.47 mm     4.21 mm  
   3.25 MeV   7.237E-03  4.710E-06  272.87 mm    10.64 mm     4.74 mm  
   3.50 MeV   6.862E-03  4.409E-06  308.32 mm    11.81 mm     5.29 mm  
   3.75 MeV   6.520E-03  4.146E-06  345.66 mm    12.99 mm     5.87 mm  
   4.00 MeV   6.233E-03  3.914E-06  384.84 mm    14.18 mm     6.48 mm  
   4.50 MeV   5.736E-03  3.523E-06  468.40 mm    18.56 mm     7.76 mm  
   5.00 MeV   5.316E-03  3.206E-06  558.89 mm    22.65 mm     9.14 mm  
   5.50 MeV   4.955E-03  2.943E-06  656.25 mm    26.61 mm    10.61 mm  
   6.00 MeV   4.641E-03  2.722E-06  760.44 mm    30.53 mm    12.17 mm  
   6.50 MeV   4.367E-03  2.533E-06  871.42 mm    34.46 mm    13.83 mm  
   7.00 MeV   4.125E-03  2.370E-06  989.14 mm    38.40 mm    15.57 mm  
   8.00 MeV   3.719E-03  2.102E-06    1.24 m     52.94 mm    19.34 mm  
   9.00 MeV   3.392E-03  1.890E-06    1.53 m     66.48 mm    23.45 mm  
  10.00 MeV   3.121E-03  1.719E-06    1.83 m     79.69 mm    27.92 mm  
  11.00 MeV   2.894E-03  1.577E-06    2.17 m     92.82 mm    32.72 mm  
  12.00 MeV   2.700E-03  1.458E-06    2.52 m    106.02 mm    37.86 mm  
  13.00 MeV   2.533E-03  1.356E-06    2.91 m    119.34 mm    43.32 mm  
  14.00 MeV   2.387E-03  1.268E-06    3.31 m    132.83 mm    49.11 mm  
  15.00 MeV   2.258E-03  1.191E-06    3.74 m    146.51 mm    55.23 mm  
  16.00 MeV   2.144E-03  1.123E-06    4.20 m    160.39 mm    61.65 mm  
  17.00 MeV   2.042E-03  1.063E-06    4.67 m    174.49 mm    68.39 mm  
  18.00 MeV   1.949E-03  1.009E-06    5.17 m    188.81 mm    75.44 mm  
  20.00 MeV   1.790E-03  9.171E-07    6.24 m    242.91 mm    90.46 mm  
  22.50 MeV   1.626E-03  8.239E-07    7.71 m    320.40 mm   110.91 mm  
  25.00 MeV   1.492E-03  7.486E-07    9.31 m    393.81 mm   133.19 mm  
  27.50 MeV   1.380E-03  6.863E-07   11.06 m    465.77 mm   157.27 mm  
  30.00 MeV   1.285E-03  6.339E-07   12.93 m    537.45 mm   183.12 mm  
  32.50 MeV   1.203E-03  5.893E-07   14.94 m    609.46 mm   210.69 mm  
  35.00 MeV   1.132E-03  5.507E-07   17.08 m    682.14 mm   239.97 mm  
  37.50 MeV   1.070E-03  5.171E-07   19.35 m    755.68 mm   270.93 mm  
  40.00 MeV   1.014E-03  4.874E-07   21.75 m    830.21 mm   303.54 mm  
  45.00 MeV   9.205E-04  4.376E-07   26.92 m      1.11 m    373.69 mm  
  50.00 MeV   8.439E-04  3.974E-07   32.59 m      1.37 m    450.22 mm  
  55.00 MeV   7.801E-04  3.641E-07   38.76 m      1.63 m    533.01 mm  
  60.00 MeV   7.260E-04  3.362E-07   45.40 m      1.89 m    621.92 mm  
  65.00 MeV   6.797E-04  3.124E-07   52.51 m      2.14 m    716.84 mm  
  70.00 MeV   6.394E-04  2.918E-07   60.09 m      2.40 m    817.64 mm  
  80.00 MeV   5.729E-04  2.581E-07   76.61 m      3.36 m      1.04 m   
  90.00 MeV   5.201E-04  2.316E-07   94.93 m      4.25 m      1.28 m   
 100.00 MeV   4.771E-04  2.102E-07  114.99 m      5.12 m      1.54 m   
 110.00 MeV   4.414E-04  1.926E-07  136.78 m      5.99 m      1.83 m   
 120.00 MeV   4.112E-04  1.777E-07  160.24 m      6.86 m      2.13 m   
 130.00 MeV   3.854E-04  1.651E-07  185.35 m      7.74 m      2.46 m   
 140.00 MeV   3.630E-04  1.542E-07  212.08 m      8.63 m      2.80 m   
 150.00 MeV   3.434E-04  1.447E-07  240.39 m      9.53 m      3.16 m   
 160.00 MeV   3.261E-04  1.363E-07  270.25 m     10.44 m      3.55 m   
 170.00 MeV   3.107E-04  1.289E-07  301.65 m     11.37 m      3.95 m   
 180.00 MeV   2.969E-04  1.222E-07  334.56 m     12.30 m      4.37 m   
 200.00 MeV   2.732E-04  1.109E-07  404.76 m     15.85 m      5.26 m   
