 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 25, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\6Li_silicon.txt

 Ion = Lithium [3] , Mass = 6,01348 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    2,150E+01  3,462E+01      82 A        78 A        58 A   
   1,10 keV   2,255E+01  3,484E+01      89 A        83 A        62 A   
   1,20 keV   2,355E+01  3,500E+01      95 A        89 A        66 A   
   1,30 keV   2,452E+01  3,511E+01     102 A        94 A        70 A   
   1,40 keV   2,544E+01  3,518E+01     109 A        99 A        74 A   
   1,50 keV   2,633E+01  3,522E+01     116 A       104 A        78 A   
   1,60 keV   2,720E+01  3,524E+01     122 A       109 A        81 A   
   1,70 keV   2,803E+01  3,523E+01     129 A       114 A        85 A   
   1,80 keV   2,885E+01  3,520E+01     136 A       119 A        89 A   
   2,00 keV   3,041E+01  3,509E+01     149 A       128 A        96 A   
   2,25 keV   3,225E+01  3,489E+01     165 A       140 A       105 A   
   2,50 keV   3,400E+01  3,464E+01     182 A       151 A       113 A   
   2,75 keV   3,566E+01  3,435E+01     199 A       162 A       122 A   
   3,00 keV   3,724E+01  3,404E+01     215 A       173 A       130 A   
   3,25 keV   3,876E+01  3,371E+01     232 A       183 A       138 A   
   3,50 keV   4,023E+01  3,337E+01     249 A       194 A       146 A   
   3,75 keV   4,164E+01  3,303E+01     265 A       204 A       154 A   
   4,00 keV   4,300E+01  3,269E+01     282 A       214 A       162 A   
   4,50 keV   4,561E+01  3,200E+01     315 A       233 A       178 A   
   5,00 keV   4,808E+01  3,132E+01     349 A       252 A       192 A   
