 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_6mb_butane.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  1.4310E-05 g/cm3 = 2.0757E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   7.766E-03  1.160E-05  468.11 mm    15.90 mm    18.42 mm  
   2.75 MeV   7.657E-03  1.070E-05  500.47 mm    16.60 mm    18.66 mm  
   3.00 MeV   7.521E-03  9.928E-06  533.35 mm    17.29 mm    18.90 mm  
   3.25 MeV   7.369E-03  9.270E-06  566.88 mm    17.98 mm    19.13 mm  
   3.50 MeV   7.206E-03  8.698E-06  601.13 mm    18.67 mm    19.36 mm  
   3.75 MeV   7.037E-03  8.196E-06  636.19 mm    19.36 mm    19.58 mm  
   4.00 MeV   6.867E-03  7.753E-06  672.10 mm    20.06 mm    19.80 mm  
   4.50 MeV   6.531E-03  7.003E-06  746.67 mm    22.75 mm    20.26 mm  
   5.00 MeV   6.212E-03  6.393E-06  825.09 mm    25.39 mm    20.71 mm  
   5.50 MeV   5.914E-03  5.885E-06  907.50 mm    28.01 mm    21.19 mm  
   6.00 MeV   5.641E-03  5.457E-06  993.99 mm    30.64 mm    21.68 mm  
   6.50 MeV   5.391E-03  5.089E-06    1.08 m     33.29 mm    22.19 mm  
   7.00 MeV   5.163E-03  4.771E-06    1.18 m     35.96 mm    22.73 mm  
   8.00 MeV   4.764E-03  4.245E-06    1.38 m     46.02 mm    23.87 mm  
   9.00 MeV   4.429E-03  3.829E-06    1.60 m     55.50 mm    25.12 mm  
  10.00 MeV   4.143E-03  3.491E-06    1.83 m     64.70 mm    26.49 mm  
  11.00 MeV   3.895E-03  3.211E-06    2.08 m     73.79 mm    27.97 mm  
  12.00 MeV   3.679E-03  2.974E-06    2.34 m     82.84 mm    29.58 mm  
  13.00 MeV   3.488E-03  2.771E-06    2.62 m     91.90 mm    31.30 mm  
