 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 13, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_900mb_CF4_95-5.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6688E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   3.639E-03  1.887E-06  430.94 mm    18.23 mm    10.95 mm  
   3.00 MeV   3.399E-03  1.746E-06  501.93 mm    20.98 mm    12.68 mm  
   3.25 MeV   3.191E-03  1.626E-06  577.73 mm    23.73 mm    14.51 mm  
   3.50 MeV   3.009E-03  1.521E-06  658.29 mm    26.51 mm    16.45 mm  
   3.75 MeV   2.849E-03  1.430E-06  743.55 mm    29.32 mm    18.50 mm  
   4.00 MeV   2.706E-03  1.350E-06  833.46 mm    32.17 mm    20.66 mm  
   4.50 MeV   2.463E-03  1.214E-06    1.03 m     42.62 mm    25.27 mm  
   5.00 MeV   2.263E-03  1.105E-06    1.24 m     52.48 mm    30.30 mm  
   5.50 MeV   2.096E-03  1.014E-06    1.47 m     62.14 mm    35.72 mm  
   6.00 MeV   1.953E-03  9.376E-07    1.71 m     71.75 mm    41.53 mm  
   6.50 MeV   1.831E-03  8.723E-07    1.98 m     81.40 mm    47.73 mm  
   7.00 MeV   1.724E-03  8.159E-07    2.26 m     91.14 mm    54.30 mm  
   8.00 MeV   1.546E-03  7.233E-07    2.87 m    126.70 mm    68.57 mm  
   9.00 MeV   1.404E-03  6.502E-07    3.55 m    159.98 mm    84.30 mm  
  10.00 MeV   1.288E-03  5.911E-07    4.29 m    192.57 mm   101.45 mm  
  11.00 MeV   1.191E-03  5.422E-07    5.10 m    225.11 mm   119.99 mm  
  12.00 MeV   1.109E-03  5.010E-07    5.97 m    257.90 mm   139.91 mm  
  13.00 MeV   1.038E-03  4.659E-07    6.90 m    291.11 mm   161.17 mm  
  14.00 MeV   9.765E-04  4.356E-07    7.89 m    324.83 mm   183.76 mm  
  15.00 MeV   9.225E-04  4.091E-07    8.94 m    359.11 mm   207.65 mm  
  16.00 MeV   8.747E-04  3.858E-07   10.06 m    393.97 mm   232.83 mm  
  17.00 MeV   8.320E-04  3.651E-07   11.23 m    429.44 mm   259.29 mm  
  18.00 MeV   7.937E-04  3.466E-07   12.46 m    465.51 mm   286.99 mm  
  20.00 MeV   7.276E-04  3.148E-07   15.09 m    599.95 mm   346.13 mm  
  22.50 MeV   6.603E-04  2.828E-07   18.69 m    792.34 mm   426.86 mm  
  25.00 MeV   6.054E-04  2.568E-07   22.64 m    975.01 mm   514.97 mm  
  27.50 MeV   5.598E-04  2.354E-07   26.93 m      1.15 m    610.27 mm  
  30.00 MeV   5.212E-04  2.174E-07   31.55 m      1.33 m    712.60 mm  
  32.50 MeV   4.881E-04  2.021E-07   36.50 m      1.51 m    821.80 mm  
  35.00 MeV   4.594E-04  1.888E-07   41.78 m      1.69 m    937.72 mm  
  37.50 MeV   4.343E-04  1.773E-07   47.37 m      1.88 m      1.06 m   
  40.00 MeV   4.121E-04  1.671E-07   53.27 m      2.06 m      1.19 m   
  45.00 MeV   3.746E-04  1.500E-07   65.99 m      2.75 m      1.47 m   
  50.00 MeV   3.441E-04  1.361E-07   79.90 m      3.40 m      1.77 m   
  55.00 MeV   3.189E-04  1.247E-07   94.98 m      4.03 m      2.09 m   
  60.00 MeV   2.976E-04  1.151E-07  111.19 m      4.66 m      2.44 m   
  65.00 MeV   2.793E-04  1.070E-07  128.52 m      5.29 m      2.81 m   
  70.00 MeV   2.635E-04  9.992E-08  146.93 m      5.92 m      3.20 m   
  80.00 MeV   2.376E-04  8.836E-08  186.87 m      8.22 m      4.05 m   
  90.00 MeV   2.170E-04  7.927E-08  230.87 m     10.36 m      4.97 m   
 100.00 MeV   2.004E-04  7.193E-08  278.78 m     12.43 m      5.97 m   
 110.00 MeV   1.867E-04  6.587E-08  330.43 m     14.47 m      7.04 m   
 120.00 MeV   1.751E-04  6.078E-08  385.69 m     16.50 m      8.18 m   
 130.00 MeV   1.653E-04  5.645E-08  444.42 m     18.53 m      9.37 m   
 140.00 MeV   1.567E-04  5.271E-08  506.50 m     20.57 m     10.63 m   
 150.00 MeV   1.493E-04  4.945E-08  571.81 m     22.62 m     11.95 m   
 160.00 MeV   1.428E-04  4.659E-08  640.23 m     24.68 m     13.32 m   
 170.00 MeV   1.370E-04  4.404E-08  711.66 m     26.75 m     14.74 m   
 180.00 MeV   1.318E-04  4.177E-08  786.00 m     28.83 m     16.21 m   
 200.00 MeV   1.230E-04  3.789E-08  942.96 m     36.54 m     19.30 m   
 225.00 MeV   1.141E-04  3.397E-08    1.15 km    47.35 m     23.39 m   
 250.00 MeV   1.069E-04  3.081E-08    1.38 km    57.34 m     27.71 m   
 275.00 MeV   1.011E-04  2.820E-08    1.62 km    66.85 m     32.25 m   
 300.00 MeV   9.617E-05  2.601E-08    1.87 km    76.06 m     36.97 m   
 325.00 MeV   9.203E-05  2.415E-08    2.14 km    85.05 m     41.85 m   
 350.00 MeV   8.847E-05  2.254E-08    2.42 km    93.86 m     46.88 m   
 375.00 MeV   8.540E-05  2.114E-08    2.70 km   102.53 m     52.04 m   
 400.00 MeV   8.272E-05  1.991E-08    3.00 km   111.06 m     57.31 m   
 450.00 MeV   7.827E-05  1.784E-08    3.62 km   142.04 m     68.15 m   
 500.00 MeV   7.475E-05  1.617E-08    4.28 km   169.88 m     79.29 m   
 550.00 MeV   7.191E-05  1.480E-08    4.96 km   195.77 m     90.67 m   
 600.00 MeV   6.958E-05  1.365E-08    5.66 km   220.24 m    102.22 m   
 650.00 MeV   6.763E-05  1.267E-08    6.39 km   243.61 m    113.89 m   
 700.00 MeV   6.600E-05  1.182E-08    7.14 km   266.05 m    125.64 m   
 800.00 MeV   6.343E-05  1.044E-08    8.68 km   345.06 m    149.25 m   
 900.00 MeV   6.152E-05  9.349E-09   10.28 km   413.41 m    172.85 m   
   1.00 GeV   6.008E-05  8.472E-09   11.93 km   475.07 m    196.28 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.3709E+01                keV / (ug/cm2) 
  3.3709E+01                MeV / (mg/cm2) 
  3.3709E+04                keV / (mg/cm2) 
  2.1419E+02                 eV / (1E15 atoms/cm2)
  1.0343E+02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
