 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 08, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li_Mylar.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.764E+01  3.038E+01     982 A       376 A       299 A   
  11.00 keV   4.996E+01  2.901E+01    1083 A       404 A       325 A   
  12.00 keV   5.218E+01  2.777E+01    1184 A       431 A       351 A   
  13.00 keV   5.431E+01  2.666E+01    1285 A       456 A       376 A   
  14.00 keV   5.637E+01  2.564E+01    1385 A       481 A       400 A   
  15.00 keV   5.823E+01  2.471E+01    1485 A       504 A       424 A   
  16.00 keV   6.003E+01  2.386E+01    1584 A       527 A       447 A   
  17.00 keV   6.178E+01  2.307E+01    1682 A       549 A       470 A   
  18.00 keV   6.348E+01  2.235E+01    1780 A       570 A       492 A   
  20.00 keV   6.676E+01  2.104E+01    1975 A       609 A       535 A   
  22.50 keV   7.066E+01  1.964E+01    2215 A       656 A       586 A   
  25.00 keV   7.436E+01  1.844E+01    2450 A       698 A       635 A   
  27.50 keV   7.791E+01  1.739E+01    2682 A       738 A       681 A   
  30.00 keV   8.131E+01  1.648E+01    2909 A       774 A       725 A   
  32.50 keV   8.459E+01  1.567E+01    3132 A       808 A       766 A   
  35.00 keV   8.776E+01  1.494E+01    3351 A       840 A       806 A   
  37.50 keV   9.084E+01  1.429E+01    3566 A       869 A       844 A   
  40.00 keV   9.383E+01  1.370E+01    3778 A       897 A       880 A   
  45.00 keV   9.956E+01  1.267E+01    4190 A       948 A       948 A   
  50.00 keV   1.050E+02  1.181E+01    4589 A       994 A      1010 A   
  55.00 keV   1.102E+02  1.106E+01    4976 A      1035 A      1068 A   
  60.00 keV   1.152E+02  1.042E+01    5351 A      1072 A      1121 A   
  65.00 keV   1.200E+02  9.856E+00    5715 A      1106 A      1171 A   
  70.00 keV   1.246E+02  9.357E+00    6069 A      1137 A      1217 A   
  80.00 keV   1.332E+02  8.511E+00    6752 A      1193 A      1302 A   
  90.00 keV   1.412E+02  7.820E+00    7403 A      1241 A      1378 A   
 100.00 keV   1.486E+02  7.243E+00    8027 A      1284 A      1446 A   
 110.00 keV   1.555E+02  6.754E+00    8629 A      1321 A      1507 A   
 120.00 keV   1.620E+02  6.334E+00    9209 A      1354 A      1564 A   
 130.00 keV   1.682E+02  5.967E+00    9772 A      1384 A      1616 A   
 140.00 keV   1.741E+02  5.645E+00    1.03 um     1412 A      1664 A   
 150.00 keV   1.798E+02  5.359E+00    1.08 um     1436 A      1709 A   
 160.00 keV   1.854E+02  5.104E+00    1.14 um     1459 A      1750 A   
 170.00 keV   1.909E+02  4.874E+00    1.19 um     1480 A      1790 A   
 180.00 keV   1.964E+02  4.665E+00    1.24 um     1500 A      1826 A   
 200.00 keV   2.072E+02  4.303E+00    1.33 um     1537 A      1894 A   
 225.00 keV   2.205E+02  3.928E+00    1.44 um     1579 A      1968 A   
 250.00 keV   2.335E+02  3.618E+00    1.55 um     1615 A      2033 A   
 275.00 keV   2.463E+02  3.358E+00    1.65 um     1646 A      2091 A   
 300.00 keV   2.587E+02  3.136E+00    1.75 um     1673 A      2142 A   
 325.00 keV   2.707E+02  2.943E+00    1.84 um     1697 A      2189 A   
 350.00 keV   2.823E+02  2.775E+00    1.93 um     1718 A      2231 A   
 375.00 keV   2.934E+02  2.626E+00    2.01 um     1737 A      2270 A   
 400.00 keV   3.041E+02  2.494E+00    2.09 um     1754 A      2305 A   
 450.00 keV   3.242E+02  2.269E+00    2.25 um     1791 A      2368 A   
 500.00 keV   3.426E+02  2.083E+00    2.40 um     1822 A      2422 A   
 550.00 keV   3.593E+02  1.928E+00    2.54 um     1849 A      2470 A   
 600.00 keV   3.745E+02  1.796E+00    2.67 um     1874 A      2513 A   
 650.00 keV   3.881E+02  1.683E+00    2.80 um     1895 A      2552 A   
 700.00 keV   4.004E+02  1.583E+00    2.93 um     1915 A      2587 A   
 800.00 keV   4.212E+02  1.418E+00    3.17 um     1964 A      2649 A   
 900.00 keV   4.377E+02  1.287E+00    3.40 um     2008 A      2703 A   
   1.00 MeV   4.505E+02  1.179E+00    3.62 um     2047 A      2751 A   
   1.10 MeV   4.604E+02  1.089E+00    3.84 um     2082 A      2794 A   
   1.20 MeV   4.677E+02  1.012E+00    4.06 um     2116 A      2833 A   
   1.30 MeV   4.730E+02  9.467E-01    4.27 um     2147 A      2870 A   
   1.40 MeV   4.765E+02  8.895E-01    4.48 um     2177 A      2905 A   
   1.50 MeV   4.786E+02  8.393E-01    4.69 um     2206 A      2937 A   
   1.60 MeV   4.796E+02  7.948E-01    4.89 um     2234 A      2968 A   
   1.70 MeV   4.796E+02  7.551E-01    5.10 um     2262 A      2998 A   
   1.80 MeV   4.788E+02  7.194E-01    5.31 um     2289 A      3027 A   
   2.00 MeV   4.753E+02  6.579E-01    5.73 um     2379 A      3082 A   
   2.25 MeV   4.686E+02  5.951E-01    6.26 um     2510 A      3147 A   
