 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 13, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6688E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   1.239E-01  1.429E-04   33.80 mm     1.30 mm     1.62 mm  
   3.00 MeV   1.226E-01  1.326E-04   35.82 mm     1.33 mm     1.63 mm  
   3.25 MeV   1.210E-01  1.238E-04   37.87 mm     1.37 mm     1.64 mm  
   3.50 MeV   1.192E-01  1.161E-04   39.95 mm     1.40 mm     1.66 mm  
   3.75 MeV   1.173E-01  1.094E-04   42.06 mm     1.44 mm     1.67 mm  
   4.00 MeV   1.152E-01  1.034E-04   44.21 mm     1.47 mm     1.68 mm  
   4.50 MeV   1.111E-01  9.340E-05   48.63 mm     1.60 mm     1.71 mm  
   5.00 MeV   1.069E-01  8.522E-05   53.21 mm     1.74 mm     1.73 mm  
   5.50 MeV   1.029E-01  7.844E-05   57.97 mm     1.87 mm     1.76 mm  
   6.00 MeV   9.897E-02  7.270E-05   62.92 mm     2.00 mm     1.79 mm  
   6.50 MeV   9.526E-02  6.779E-05   68.07 mm     2.13 mm     1.81 mm  
   7.00 MeV   9.176E-02  6.353E-05   73.41 mm     2.27 mm     1.84 mm  
   8.00 MeV   8.534E-02  5.652E-05   84.71 mm     2.78 mm     1.90 mm  
   9.00 MeV   7.966E-02  5.096E-05   96.83 mm     3.28 mm     1.96 mm  
  10.00 MeV   7.464E-02  4.645E-05  109.80 mm     3.76 mm     2.03 mm  
  11.00 MeV   7.019E-02  4.270E-05  123.61 mm     4.25 mm     2.10 mm  
  12.00 MeV   6.622E-02  3.954E-05  138.27 mm     4.73 mm     2.18 mm  
  13.00 MeV   6.268E-02  3.684E-05  153.78 mm     5.23 mm     2.26 mm  
  14.00 MeV   5.949E-02  3.450E-05  170.15 mm     5.73 mm     2.36 mm  
  15.00 MeV   5.661E-02  3.246E-05  187.38 mm     6.23 mm     2.45 mm  
  16.00 MeV   5.401E-02  3.065E-05  205.45 mm     6.75 mm     2.56 mm  
  17.00 MeV   5.163E-02  2.904E-05  224.38 mm     7.27 mm     2.67 mm  
  18.00 MeV   4.946E-02  2.761E-05  244.16 mm     7.80 mm     2.79 mm  
  20.00 MeV   4.564E-02  2.514E-05  286.25 mm     9.83 mm     3.05 mm  
  22.50 MeV   4.173E-02  2.263E-05  343.52 mm    12.76 mm     3.42 mm  
  25.00 MeV   3.855E-02  2.060E-05  405.83 mm    15.53 mm     3.82 mm  
  27.50 MeV   3.561E-02  1.892E-05  473.29 mm    18.26 mm     4.27 mm  
  30.00 MeV   3.329E-02  1.750E-05  545.88 mm    20.97 mm     4.76 mm  
  32.50 MeV   3.127E-02  1.629E-05  623.36 mm    23.69 mm     5.29 mm  
  35.00 MeV   2.950E-02  1.524E-05  705.64 mm    26.43 mm     5.85 mm  
  37.50 MeV   2.794E-02  1.433E-05  792.70 mm    29.19 mm     6.45 mm  
  40.00 MeV   2.655E-02  1.352E-05  884.46 mm    31.98 mm     7.09 mm  
  45.00 MeV   2.417E-02  1.216E-05    1.08 m     42.51 mm     8.46 mm  
  50.00 MeV   2.222E-02  1.106E-05    1.30 m     52.40 mm     9.96 mm  
  55.00 MeV   2.058E-02  1.015E-05    1.53 m     62.03 mm    11.59 mm  
  60.00 MeV   1.919E-02  9.387E-06    1.78 m     71.59 mm    13.34 mm  
  65.00 MeV   1.798E-02  8.733E-06    2.05 m     81.16 mm    15.21 mm  
  70.00 MeV   1.693E-02  8.167E-06    2.34 m     90.80 mm    17.20 mm  
  80.00 MeV   1.519E-02  7.238E-06    2.96 m    126.77 mm    21.52 mm  
  90.00 MeV   1.379E-02  6.506E-06    3.65 m    160.25 mm    26.29 mm  
 100.00 MeV   1.265E-02  5.913E-06    4.41 m    192.93 mm    31.50 mm  
 110.00 MeV   1.170E-02  5.423E-06    5.23 m    225.47 mm    37.14 mm  
 120.00 MeV   1.089E-02  5.011E-06    6.12 m    258.19 mm    43.19 mm  
 130.00 MeV   1.019E-02  4.659E-06    7.07 m    291.25 mm    49.66 mm  
 140.00 MeV   9.586E-03  4.356E-06    8.08 m    324.76 mm    56.54 mm  
 150.00 MeV   9.054E-03  4.091E-06    9.15 m    358.77 mm    63.82 mm  
 160.00 MeV   8.584E-03  3.857E-06   10.29 m    393.29 mm    71.49 mm  
 170.00 MeV   8.164E-03  3.650E-06   11.48 m    428.36 mm    79.55 mm  
 180.00 MeV   7.786E-03  3.464E-06   12.74 m    463.97 mm    88.00 mm  
 200.00 MeV   7.136E-03  3.147E-06   15.42 m    600.08 mm   106.04 mm  
 225.00 MeV   6.473E-03  2.826E-06   19.10 m    795.09 mm   130.68 mm  
 250.00 MeV   5.933E-03  2.567E-06   23.13 m    979.53 mm   157.60 mm  
 275.00 MeV   5.484E-03  2.352E-06   27.51 m      1.16 m    186.73 mm  
 300.00 MeV   5.104E-03  2.172E-06   32.24 m      1.34 m    218.02 mm  
 325.00 MeV   4.778E-03  2.019E-06   37.30 m      1.52 m    251.44 mm  
 350.00 MeV   4.496E-03  1.886E-06   42.69 m      1.70 m    286.94 mm  
 375.00 MeV   4.249E-03  1.770E-06   48.41 m      1.89 m    324.48 mm  
 400.00 MeV   4.030E-03  1.669E-06   54.45 m      2.07 m    364.02 mm  
 450.00 MeV   3.661E-03  1.498E-06   67.47 m      2.77 m    449.02 mm  
 500.00 MeV   3.361E-03  1.359E-06   81.72 m      3.43 m    541.63 mm  
 550.00 MeV   3.112E-03  1.245E-06   97.18 m      4.07 m    641.62 mm  
 600.00 MeV   2.902E-03  1.149E-06  113.82 m      4.71 m    748.77 mm  
 650.00 MeV   2.723E-03  1.068E-06  131.60 m      5.34 m    862.86 mm  
 700.00 MeV   2.567E-03  9.973E-07  150.51 m      5.98 m    983.69 mm  
 800.00 MeV   2.312E-03  8.818E-07  191.56 m      8.34 m      1.24 m   
 900.00 MeV   2.110E-03  7.910E-07  236.85 m     10.52 m      1.53 m   
   1.00 GeV   1.946E-03  7.177E-07  286.20 m     12.64 m      1.84 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.3709E+01                keV / (ug/cm2) 
  3.3709E+01                MeV / (mg/cm2) 
  3.3709E+04                keV / (mg/cm2) 
  2.1419E+02                 eV / (1E15 atoms/cm2)
  1.1574E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
