 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3He_900mb_CF4_95-05.txt

 Ion = Helium [2] , Mass = 3.016029 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6690E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   3.172E-02  1.852E-05   65.22 mm     2.39 mm     1.46 mm  
   3.25 MeV   2.993E-02  1.726E-05   73.33 mm     2.67 mm     1.56 mm  
   3.50 MeV   2.834E-02  1.617E-05   81.91 mm     2.94 mm     1.67 mm  
   3.75 MeV   2.693E-02  1.521E-05   90.95 mm     3.22 mm     1.78 mm  
   4.00 MeV   2.565E-02  1.437E-05  100.46 mm     3.51 mm     1.90 mm  
   4.50 MeV   2.345E-02  1.295E-05  120.83 mm     4.56 mm     2.17 mm  
   5.00 MeV   2.162E-02  1.180E-05  143.03 mm     5.57 mm     2.47 mm  
   5.50 MeV   2.007E-02  1.084E-05  167.02 mm     6.55 mm     2.79 mm  
   6.00 MeV   1.874E-02  1.003E-05  192.79 mm     7.52 mm     3.14 mm  
   6.50 MeV   1.773E-02  9.345E-06  220.20 mm     8.49 mm     3.51 mm  
   7.00 MeV   1.675E-02  8.748E-06  249.19 mm     9.46 mm     3.90 mm  
   8.00 MeV   1.505E-02  7.766E-06  312.15 mm    13.06 mm     4.76 mm  
   9.00 MeV   1.372E-02  6.991E-06  381.69 mm    16.41 mm     5.71 mm  
  10.00 MeV   1.263E-02  6.362E-06  457.61 mm    19.68 mm     6.75 mm  
  11.00 MeV   1.171E-02  5.842E-06  539.82 mm    22.93 mm     7.86 mm  
  12.00 MeV   1.092E-02  5.404E-06  628.21 mm    26.19 mm     9.06 mm  
  13.00 MeV   1.024E-02  5.029E-06  722.69 mm    29.49 mm    10.34 mm  
  14.00 MeV   9.653E-03  4.705E-06  823.20 mm    32.83 mm    11.70 mm  
