 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 19, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/12Li_silicon.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   4.785E+02  5.757E-01   12.74 um     4822 A      5390 A   
   6.50 MeV   4.655E+02  5.376E-01   13.79 um     5087 A      5543 A   
   7.00 MeV   4.530E+02  5.044E-01   14.88 um     5352 A      5698 A   
   8.00 MeV   4.297E+02  4.497E-01   17.14 um     6303 A      6015 A   
   9.00 MeV   4.086E+02  4.062E-01   19.52 um     7213 A      6342 A   
  10.00 MeV   3.895E+02  3.709E-01   22.03 um     8099 A      6681 A   
  11.00 MeV   3.722E+02  3.414E-01   24.65 um     8972 A      7034 A   
  12.00 MeV   3.565E+02  3.166E-01   27.39 um     9838 A      7401 A   
  13.00 MeV   3.421E+02  2.953E-01   30.25 um     1.07 um     7783 A   
  14.00 MeV   3.289E+02  2.768E-01   33.23 um     1.16 um     8179 A   
  15.00 MeV   3.168E+02  2.607E-01   36.32 um     1.24 um     8590 A   
  16.00 MeV   3.056E+02  2.464E-01   39.53 um     1.33 um     9016 A   
  17.00 MeV   2.952E+02  2.337E-01   42.86 um     1.42 um     9457 A   
  18.00 MeV   2.856E+02  2.222E-01   46.30 um     1.51 um     9913 A   
  20.00 MeV   2.683E+02  2.026E-01   53.52 um     1.83 um     1.09 um  
  22.50 MeV   2.496E+02  1.827E-01   63.17 um     2.30 um     1.21 um  
  25.00 MeV   2.331E+02  1.665E-01   73.53 um     2.74 um     1.35 um  
  27.50 MeV   2.162E+02  1.531E-01   84.65 um     3.18 um     1.50 um  
  30.00 MeV   2.016E+02  1.418E-01   96.62 um     3.62 um     1.65 um  
  32.50 MeV   1.908E+02  1.321E-01  109.36 um     4.06 um     1.82 um  
  35.00 MeV   1.813E+02  1.237E-01  122.79 um     4.50 um     2.00 um  
  37.50 MeV   1.728E+02  1.164E-01  136.90 um     4.94 um     2.18 um  
  40.00 MeV   1.651E+02  1.099E-01  151.69 um     5.39 um     2.38 um  
  45.00 MeV   1.519E+02  9.899E-02  183.24 um     7.03 um     2.79 um  
  50.00 MeV   1.408E+02  9.013E-02  217.42 um     8.57 um     3.23 um  
  55.00 MeV   1.314E+02  8.279E-02  254.16 um    10.06 um     3.71 um  
  60.00 MeV   1.232E+02  7.661E-02  293.43 um    11.54 um     4.21 um  
  65.00 MeV   1.162E+02  7.133E-02  335.19 um    13.01 um     4.75 um  
  70.00 MeV   1.100E+02  6.676E-02  379.40 um    14.48 um     5.31 um  
  80.00 MeV   9.950E+01  5.924E-02  474.96 um    19.89 um     6.53 um  
  90.00 MeV   9.104E+01  5.330E-02  579.98 um    24.92 um     7.85 um  
 100.00 MeV   8.403E+01  4.849E-02  694.26 um    29.80 um     9.28 um  
 110.00 MeV   7.813E+01  4.451E-02  817.61 um    34.63 um    10.81 um  
 120.00 MeV   7.308E+01  4.116E-02  949.89 um    39.47 um    12.45 um  
 130.00 MeV   6.870E+01  3.830E-02    1.09 mm    44.35 um    14.18 um  
 140.00 MeV   6.487E+01  3.582E-02    1.24 mm    49.27 um    16.01 um  
 150.00 MeV   6.149E+01  3.366E-02    1.40 mm    54.25 um    17.94 um  
