 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 17, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_Mylar.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   4.236E+02  4.215E-01   14.03 um     4549 A      4380 A   
   6.00 MeV   4.098E+02  3.908E-01   15.23 um     4873 A      4473 A   
   6.50 MeV   3.963E+02  3.646E-01   16.47 um     5196 A      4568 A   
   7.00 MeV   3.833E+02  3.418E-01   17.75 um     5521 A      4664 A   
   8.00 MeV   3.590E+02  3.043E-01   20.45 um     6739 A      4864 A   
   9.00 MeV   3.371E+02  2.745E-01   23.32 um     7899 A      5075 A   
  10.00 MeV   3.175E+02  2.503E-01   26.37 um     9033 A      5298 A   
  11.00 MeV   3.000E+02  2.302E-01   29.61 um     1.02 um     5537 A   
  12.00 MeV   2.844E+02  2.133E-01   33.03 um     1.13 um     5790 A   
  13.00 MeV   2.705E+02  1.988E-01   36.64 um     1.24 um     6058 A   
  14.00 MeV   2.580E+02  1.862E-01   40.42 um     1.35 um     6343 A   
  15.00 MeV   2.467E+02  1.752E-01   44.38 um     1.47 um     6643 A   
  16.00 MeV   2.365E+02  1.655E-01   48.52 um     1.58 um     6960 A   
  17.00 MeV   2.273E+02  1.569E-01   52.83 um     1.70 um     7292 A   
  18.00 MeV   2.188E+02  1.491E-01   57.31 um     1.82 um     7640 A   
  20.00 MeV   2.039E+02  1.358E-01   66.77 um     2.27 um     8383 A   
  22.50 MeV   1.887E+02  1.224E-01   79.51 um     2.90 um     9396 A   
  25.00 MeV   1.762E+02  1.114E-01   93.22 um     3.50 um     1.05 um  
  27.50 MeV   1.640E+02  1.024E-01  107.92 um     4.08 um     1.17 um  
  30.00 MeV   1.533E+02  9.472E-02  123.68 um     4.66 um     1.30 um  
  32.50 MeV   1.440E+02  8.819E-02  140.50 um     5.24 um     1.43 um  
  35.00 MeV   1.359E+02  8.255E-02  158.36 um     5.83 um     1.58 um  
  37.50 MeV   1.288E+02  7.761E-02  177.25 um     6.42 um     1.73 um  
  40.00 MeV   1.225E+02  7.326E-02  197.14 um     7.02 um     1.89 um  
  45.00 MeV   1.116E+02  6.592E-02  239.90 um     9.29 um     2.24 um  
  50.00 MeV   1.027E+02  5.998E-02  286.58 um    11.42 um     2.62 um  
  55.00 MeV   9.526E+01  5.506E-02  337.11 um    13.49 um     3.03 um  
  60.00 MeV   8.889E+01  5.092E-02  391.43 um    15.55 um     3.48 um  
  65.00 MeV   8.340E+01  4.738E-02  449.49 um    17.61 um     3.95 um  
  70.00 MeV   7.860E+01  4.432E-02  511.22 um    19.68 um     4.45 um  
  80.00 MeV   7.061E+01  3.929E-02  645.43 um    27.40 um     5.53 um  
  90.00 MeV   6.422E+01  3.533E-02  793.91 um    34.58 um     6.73 um  
 100.00 MeV   5.898E+01  3.212E-02  956.36 um    41.57 um     8.03 um  
 110.00 MeV   5.459E+01  2.946E-02    1.13 mm    48.53 um     9.43 um  
 120.00 MeV   5.087E+01  2.723E-02    1.32 mm    55.52 um    10.94 um  
 130.00 MeV   4.766E+01  2.533E-02    1.53 mm    62.58 um    12.55 um  
 140.00 MeV   4.487E+01  2.368E-02    1.74 mm    69.73 um    14.26 um  
 150.00 MeV   4.241E+01  2.224E-02    1.97 mm    76.98 um    16.06 um  
 160.00 MeV   4.024E+01  2.098E-02    2.21 mm    84.34 um    17.96 um  
 170.00 MeV   3.829E+01  1.985E-02    2.47 mm    91.81 um    19.96 um  
 180.00 MeV   3.655E+01  1.885E-02    2.73 mm    99.39 um    22.04 um  
 200.00 MeV   3.353E+01  1.712E-02    3.31 mm   128.29 um    26.50 um  
 225.00 MeV   3.045E+01  1.538E-02    4.09 mm   169.68 um    32.57 um  
 250.00 MeV   2.794E+01  1.397E-02    4.95 mm   208.80 um    39.20 um  
 275.00 MeV   2.584E+01  1.281E-02    5.88 mm   247.08 um    46.36 um  
 300.00 MeV   2.407E+01  1.183E-02    6.88 mm   285.16 um    54.04 um  
 325.00 MeV   2.255E+01  1.100E-02    7.95 mm   323.34 um    62.23 um  
 350.00 MeV   2.123E+01  1.027E-02    9.09 mm   361.81 um    70.93 um  
 375.00 MeV   2.008E+01  9.646E-03   10.30 mm   400.66 um    80.11 um  
 400.00 MeV   1.905E+01  9.093E-03   11.58 mm   439.95 um    89.78 um  
 450.00 MeV   1.732E+01  8.163E-03   14.33 mm   588.22 um   110.54 um  
 500.00 MeV   1.592E+01  7.411E-03   17.34 mm   727.01 um   133.13 um  
 550.00 MeV   1.475E+01  6.790E-03   20.61 mm   862.00 um   157.50 um  
 600.00 MeV   1.376E+01  6.269E-03   24.12 mm   995.60 um   183.58 um  
 650.00 MeV   1.292E+01  5.824E-03   27.86 mm     1.13 mm   211.32 um  
 700.00 MeV   1.219E+01  5.441E-03   31.85 mm     1.26 mm   240.69 um  
 800.00 MeV   1.098E+01  4.812E-03   40.49 mm     1.76 mm   304.10 um  
 900.00 MeV   1.003E+01  4.317E-03   50.02 mm     2.22 mm   373.48 um  
   1.00 GeV   9.257E+00  3.918E-03   60.40 mm     2.66 mm   448.51 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  3.5396E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
