 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2384/Calibrations/SRIM/10He_900mb_CF4_95-5.txt

 Ion = Helium [2] , Mass = 10.05282 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6754E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 MeV   6.882E-02  6.213E-05   50.59 mm     1.69 mm     1.89 mm  
   3.00 MeV   6.615E-02  5.760E-05   54.30 mm     1.77 mm     1.92 mm  
   3.25 MeV   6.360E-02  5.372E-05   58.15 mm     1.86 mm     1.94 mm  
   3.50 MeV   6.120E-02  5.036E-05   62.15 mm     1.95 mm     1.97 mm  
   3.75 MeV   5.894E-02  4.742E-05   66.31 mm     2.04 mm     1.99 mm  
   4.00 MeV   5.683E-02  4.482E-05   70.62 mm     2.14 mm     2.02 mm  
   4.50 MeV   5.326E-02  4.042E-05   79.71 mm     2.50 mm     2.07 mm  
   5.00 MeV   5.013E-02  3.685E-05   89.38 mm     2.86 mm     2.12 mm  
   5.50 MeV   4.735E-02  3.389E-05   99.63 mm     3.22 mm     2.18 mm  
   6.00 MeV   4.487E-02  3.139E-05  110.47 mm     3.57 mm     2.25 mm  
   6.50 MeV   4.265E-02  2.925E-05  121.90 mm     3.93 mm     2.32 mm  
   7.00 MeV   4.064E-02  2.740E-05  133.90 mm     4.29 mm     2.39 mm  
   8.00 MeV   3.715E-02  2.435E-05  159.63 mm     5.64 mm     2.55 mm  
   9.00 MeV   3.424E-02  2.194E-05  187.66 mm     6.91 mm     2.73 mm  
  10.00 MeV   3.176E-02  1.998E-05  217.97 mm     8.15 mm     2.92 mm  
  11.00 MeV   2.964E-02  1.836E-05  250.55 mm     9.38 mm     3.14 mm  
  12.00 MeV   2.779E-02  1.699E-05  285.38 mm    10.61 mm     3.38 mm  
  13.00 MeV   2.618E-02  1.582E-05  322.43 mm    11.86 mm     3.64 mm  
  14.00 MeV   2.475E-02  1.481E-05  361.70 mm    13.11 mm     3.92 mm  
  15.00 MeV   2.348E-02  1.392E-05  403.16 mm    14.39 mm     4.22 mm  
  16.00 MeV   2.234E-02  1.314E-05  446.81 mm    15.68 mm     4.54 mm  
  17.00 MeV   2.132E-02  1.245E-05  492.61 mm    16.99 mm     4.88 mm  
  18.00 MeV   2.039E-02  1.183E-05  540.56 mm    18.32 mm     5.24 mm  
  20.00 MeV   1.876E-02  1.077E-05  642.80 mm    23.38 mm     6.01 mm  
  22.50 MeV   1.726E-02  9.686E-06  781.68 mm    30.60 mm     7.06 mm  
  25.00 MeV   1.585E-02  8.812E-06  932.76 mm    37.38 mm     8.21 mm  
  27.50 MeV   1.472E-02  8.088E-06    1.10 m     44.03 mm     9.46 mm  
  30.00 MeV   1.374E-02  7.479E-06    1.27 m     50.63 mm    10.80 mm  
  32.50 MeV   1.290E-02  6.958E-06    1.46 m     57.24 mm    12.24 mm  
  35.00 MeV   1.217E-02  6.509E-06    1.66 m     63.89 mm    13.76 mm  
  37.50 MeV   1.152E-02  6.116E-06    1.87 m     70.61 mm    15.37 mm  
  40.00 MeV   1.094E-02  5.770E-06    2.09 m     77.40 mm    17.06 mm  
  45.00 MeV   9.952E-03  5.187E-06    2.57 m    103.05 mm    20.70 mm  
  50.00 MeV   9.143E-03  4.715E-06    3.10 m    127.11 mm    24.66 mm  
