! 9He range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.250000	8.89425   	0.250000	8.56757   	0.250000	8.0199    	0.250000	8.0199    	0.250000	8.0203    	0.250000	0.0523731 	0.250000	0.0528515 	0.250000	0.465157  	0.250000	0.562191  	0.250000	0.41139   	
0.300000	10.4352   	0.300000	10.0506   	0.300000	9.49649   	0.300000	9.49649   	0.300000	9.49689   	0.300000	0.060593  	0.300000	0.0603903 	0.300000	0.503695  	0.300000	0.604192  	0.300000	0.449078  	
0.350000	12.0601   	0.350000	11.6144   	0.350000	11.0606   	0.350000	11.0606   	0.350000	11.061    	0.350000	0.0698018 	0.350000	0.0686546 	0.350000	0.542009  	0.350000	0.645808  	0.350000	0.486693  	
0.400000	13.7714   	0.400000	13.2613   	0.400000	12.713    	0.400000	12.713    	0.400000	12.7134   	0.400000	0.0799357 	0.400000	0.0775859 	0.400000	0.580736  	0.400000	0.68749   	0.400000	0.524927  	
0.450000	15.5707   	0.450000	14.9929   	0.450000	14.4536   	0.450000	14.4536   	0.450000	14.454    	0.450000	0.0909459 	0.450000	0.0871382 	0.450000	0.619913  	0.450000	0.729329  	0.450000	0.563672  	
0.500000	17.4594   	0.500000	16.8106   	0.500000	16.2824   	0.500000	16.2824   	0.500000	16.2828   	0.500000	0.102796  	0.500000	0.0972759 	0.500000	0.659919  	0.500000	0.77182   	0.500000	0.603403  	
0.600000	21.5075   	0.600000	20.7065   	0.600000	20.203    	0.600000	20.203    	0.600000	20.2034   	0.600000	0.128909  	0.600000	0.119198  	0.600000	0.742283  	0.600000	0.859367  	0.600000	0.685285  	
0.700000	25.9172   	0.700000	24.9504   	0.700000	24.4703   	0.700000	24.4703   	0.700000	24.4707   	0.700000	0.158101  	0.700000	0.143167  	0.700000	0.82813   	0.700000	0.950708  	0.700000	0.770637  	
0.800000	30.6859   	0.800000	29.5397   	0.800000	29.0786   	0.800000	29.0786   	0.800000	29.079    	0.800000	0.190236  	0.800000	0.169039  	0.800000	0.917994  	0.800000	1.04605   	0.800000	0.860072  	
0.900000	35.8084   	0.900000	34.4696   	0.900000	34.0215   	0.900000	34.0215   	0.900000	34.0219   	0.900000	0.225202  	0.900000	0.196689  	0.900000	1.01171   	0.900000	1.14539   	0.900000	0.951861  	
1.000000	41.279    	1.000000	39.7344   	1.000000	39.2924   	1.000000	39.2924   	1.000000	39.2927   	1.000000	0.262901  	1.000000	0.226019  	1.000000	1.10958   	1.000000	1.2488    	1.000000	1.0455    	
1.250000	56.4382   	1.250000	54.3236   	1.250000	53.8647   	1.250000	53.8647   	1.250000	53.8651   	1.250000	0.36861   	1.250000	0.307103  	1.250000	1.37188   	1.250000	1.52468   	1.250000	1.28078   	
1.500000	73.648    	1.500000	70.8862   	1.500000	70.3659   	1.500000	70.3659   	1.500000	70.3663   	1.500000	0.490004  	1.500000	0.402727  	1.500000	1.62967   	1.500000	1.82431   	1.500000	1.51198   	
1.750000	92.8375   	1.750000	89.354    	1.750000	88.7313   	1.750000	88.7313   	1.750000	88.7317   	1.750000	0.626509  	1.750000	0.510459  	1.750000	1.90136   	1.750000	2.13936   	1.750000	1.77088   	
2.000000	113.95    	2.000000	109.673   	2.000000	108.911   	2.000000	108.911   	2.000000	108.911   	2.000000	0.777751  	2.000000	0.628346  	2.000000	2.20029   	2.000000	2.44455   	2.000000	2.05581   	
2.250000	136.939   	2.250000	131.797   	2.250000	130.863   	2.250000	130.863   	2.250000	130.863   	2.250000	0.943458  	2.250000	0.755342  	2.250000	2.52517   	2.250000	2.77398   	2.250000	2.36562   	
2.500000	161.772   	2.500000	155.689   	2.500000	154.553   	2.500000	154.553   	2.500000	154.554   	2.500000	1.12341   	2.500000	0.890847  	2.500000	2.87507   	2.500000	3.12638   	2.500000	2.69946   	
3.000000	215.533   	3.000000	208.646   	3.000000	207.031   	3.000000	207.031   	3.000000	207.031   	3.000000	1.52529   	3.000000	1.1859    	3.000000	3.6471    	3.000000	3.89645   	3.000000	3.43662   	
3.500000	275.926   	3.500000	268.308   	3.500000	266.131   	3.500000	266.131   	3.500000	266.132   	3.500000	1.98192   	3.500000	1.51113   	3.500000	4.51181   	3.500000	4.74892   	3.500000	4.26303   	
4.000000	342.781   	4.000000	334.475   	4.000000	331.672   	4.000000	331.672   	4.000000	331.672   	4.000000	2.49193   	4.000000	1.86482   	4.000000	5.46574   	4.000000	5.67951   	4.000000	5.17543   	
