! 11Li range in H8C10O4
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.300000	10.4611   	0.300000	9.75803   	0.300000	9.39484   	0.300000	9.39484   	0.300000	9.39497   	0.300000	0.0372992 	0.300000	0.0339469 	0.300000	0.344069  	0.300000	0.470836  	0.300000	0.304602  	
0.350000	11.7775   	0.350000	10.9848   	0.350000	10.7251   	0.350000	10.7251   	0.350000	10.7252   	0.350000	0.0415995 	0.350000	0.0377015 	0.350000	0.365689  	0.350000	0.496944  	0.350000	0.324907  	
0.400000	13.1156   	0.400000	12.2318   	0.400000	12.1017   	0.400000	12.1017   	0.400000	12.1018   	0.400000	0.0461918 	0.400000	0.0418491 	0.400000	0.387073  	0.400000	0.522453  	0.400000	0.345142  	
0.450000	14.4841   	0.450000	13.5071   	0.450000	13.5306   	0.450000	13.5306   	0.450000	13.5307   	0.450000	0.0511076 	0.450000	0.0463481 	0.450000	0.40849   	0.450000	0.547731  	0.450000	0.365616  	
0.500000	15.8868   	0.500000	14.8142   	0.500000	15.0138   	0.500000	15.0138   	0.500000	15.0139   	0.500000	0.0563457 	0.500000	0.0511785 	0.500000	0.430073  	0.500000	0.572969  	0.500000	0.386256  	
0.600000	18.8261   	0.600000	17.5534   	0.600000	18.1413   	0.600000	18.1413   	0.600000	18.1414   	0.600000	0.0677144 	0.600000	0.0617086 	0.600000	0.473871  	0.600000	0.623644  	0.600000	0.42857   	
0.700000	21.9912   	0.700000	20.5029   	0.700000	21.4775   	0.700000	21.4775   	0.700000	21.4777   	0.700000	0.0801507 	0.700000	0.0731186 	0.700000	0.518264  	0.700000	0.674956  	0.700000	0.472187  	
0.800000	25.3734   	0.800000	23.6548   	0.800000	25.0147   	0.800000	25.0147   	0.800000	25.0148   	0.800000	0.0935392 	0.800000	0.085198  	0.800000	0.563905  	0.800000	0.727241  	0.800000	0.517359  	
0.900000	28.9611   	0.900000	26.9982   	0.900000	28.7464   	0.900000	28.7464   	0.900000	28.7465   	0.900000	0.107803  	0.900000	0.097828  	0.900000	0.610673  	0.900000	0.780462  	0.900000	0.555455  	
1.000000	32.7791   	1.000000	30.5562   	1.000000	32.6724   	1.000000	32.6724   	1.000000	32.6725   	1.000000	0.122948  	1.000000	0.110989  	1.000000	0.653064  	1.000000	0.830592  	1.000000	0.586953  	
1.250000	43.2856   	1.250000	40.3472   	1.250000	43.3341   	1.250000	43.3341   	1.250000	43.3342   	1.250000	0.16466   	1.250000	0.146131  	1.250000	0.745575  	1.250000	0.932032  	1.250000	0.671336  	
1.500000	55.3094   	1.500000	51.5522   	1.500000	55.1588   	1.500000	55.1588   	1.500000	55.1589   	1.500000	0.211484  	1.500000	0.184083  	1.500000	0.842886  	1.500000	1.03841   	1.500000	0.763669  	
1.750000	68.9257   	1.750000	64.2412   	1.750000	68.1268   	1.750000	68.1268   	1.750000	68.1269   	1.750000	0.263396  	1.750000	0.224793  	1.750000	0.94861   	1.750000	1.15365   	1.750000	0.863916  	
2.000000	84.0109   	2.000000	78.2991   	2.000000	82.2352   	2.000000	82.2352   	2.000000	82.2353   	2.000000	0.320523  	2.000000	0.26834   	2.000000	1.06273   	2.000000	1.27751   	2.000000	0.972122  	
2.250000	100.526   	2.250000	93.6893   	2.250000	97.4909   	2.250000	97.4909   	2.250000	97.491    	2.250000	0.383064  	2.250000	0.314853  	2.250000	1.18534   	2.250000	1.40992   	2.250000	1.08843   	
2.500000	118.473   	2.500000	110.406   	2.500000	113.902   	2.500000	113.902   	2.500000	113.903   	2.500000	0.451202  	2.500000	0.364447  	2.500000	1.31656   	2.500000	1.55091   	2.500000	1.21297   	
3.000000	156.717   	3.000000	147.693   	3.000000	150.216   	3.000000	150.216   	3.000000	150.216   	3.000000	0.604772  	3.000000	0.473166  	3.000000	1.60521   	3.000000	1.85857   	3.000000	1.48723   	
3.500000	199.823   	3.500000	189.982   	3.500000	191.201   	3.500000	191.201   	3.500000	191.201   	3.500000	0.781901  	3.500000	0.594838  	3.500000	1.92919   	3.500000	2.20038   	3.500000	1.79547   	
4.000000	247.705   	4.000000	237.179   	4.000000	236.852   	4.000000	236.852   	4.000000	236.852   	4.000000	0.982844  	4.000000	0.729485  	4.000000	2.2887    	4.000000	2.57608   	4.000000	2.138     	
4.500000	300.282   	4.500000	289.221   	4.500000	287.146   	4.500000	287.146   	4.500000	287.146   	4.500000	1.20761   	4.500000	0.876898  	4.500000	2.68375   	4.500000	2.98526   	4.500000	2.51486   	
5.000000	357.484   	5.000000	346.06    	5.000000	342.047   	5.000000	342.047   	5.000000	342.047   	5.000000	1.45605   	5.000000	1.03682   	5.000000	3.11422   	5.000000	3.42747   	5.000000	2.92598   	
5.500000	419.248   	5.500000	407.623   	5.500000	401.511   	5.500000	401.511   	5.500000	401.511   	5.500000	1.72798   	5.500000	1.20901   	5.500000	3.57984   	5.500000	3.90218   	5.500000	3.37112   	
6.000000	485.517   	6.000000	473.835   	6.000000	465.494   	6.000000	465.494   	6.000000	465.494   	6.000000	2.02315   	6.000000	1.39321   	6.000000	4.0804    	6.000000	4.40893   	6.000000	3.85013   	
6.500000	556.236   	6.500000	544.651   	6.500000	533.951   	6.500000	533.951   	6.500000	533.951   	6.500000	2.34134   	6.500000	1.58918   	6.500000	4.61559   	6.500000	4.94719   	6.500000	4.36269   	
