! 7Li range in C5F20H190
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.350000	28961.4   	0.350000	28961.4   	0.350000	27961.1   	0.350000	27961.1   	0.350000	27961.3   	0.350000	115.677   	0.350000	110.389   	0.350000	843.404   	0.350000	1441.43   	0.350000	869.415   	
0.400000	32101.8   	0.400000	32101.8   	0.400000	31532.9   	0.400000	31532.9   	0.400000	31533     	0.400000	128.42    	0.400000	121.179   	0.400000	893.343   	0.400000	1514.03   	0.400000	922.671   	
0.450000	35365.6   	0.450000	35365.6   	0.450000	35262.5   	0.450000	35262.5   	0.450000	35262.6   	0.450000	142.298   	0.450000	132.8     	0.450000	943.739   	0.450000	1586.74   	0.450000	976.645   	
0.500000	38764.8   	0.500000	38764.8   	0.500000	39156.3   	0.500000	39156.3   	0.500000	39156.5   	0.500000	157.313   	0.500000	145.25    	0.500000	994.507   	0.500000	1659.66   	0.500000	1031.69   	
0.600000	45967.3   	0.600000	45967.3   	0.600000	47435.8   	0.600000	47435.8   	0.600000	47435.9   	0.600000	190.553   	0.600000	172.601   	0.600000	1098.5    	0.600000	1807.95   	0.600000	1144.87   	
0.700000	53764     	0.700000	53764     	0.700000	56358.2   	0.700000	56358.2   	0.700000	56358.3   	0.700000	227.71    	0.700000	203.58    	0.700000	1200.07   	0.700000	1959.87   	0.700000	1262.48   	
0.800000	62121.1   	0.800000	62121.1   	0.800000	65904.1   	0.800000	65904.1   	0.800000	65904.2   	0.800000	268.412   	0.800000	237.596   	0.800000	1296.81   	0.800000	2116.52   	0.800000	1385.7    	
0.900000	70991.6   	0.900000	70991.6   	0.900000	76055.2   	0.900000	76055.2   	0.900000	76055.3   	0.900000	312.383   	0.900000	274.14    	0.900000	1397.11   	0.900000	2260.57   	0.900000	1494.55   	
1.000000	80429     	1.000000	80429     	1.000000	86809.4   	1.000000	86809.4   	1.000000	86809.5   	1.000000	359.599   	1.000000	313.016   	1.000000	1501.37   	1.000000	2399.74   	1.000000	1577.35   	
1.250000	106639    	1.250000	106639    	1.250000	116310    	1.250000	116310    	1.250000	116310    	1.250000	491.587   	1.250000	419.532   	1.250000	1779.04   	1.250000	2769.46   	1.250000	1805.5    	
1.500000	137198    	1.500000	137198    	1.500000	149388    	1.500000	149388    	1.500000	149388    	1.500000	641.895   	1.500000	537.368   	1.500000	2079.62   	1.500000	3167.89   	1.500000	2061.74   	
1.750000	172370    	1.750000	172370    	1.750000	185958    	1.750000	185958    	1.750000	185958    	1.750000	810.119   	1.750000	665.726   	1.750000	2393.72   	1.750000	3583.49   	1.750000	2345.06   	
2.000000	211823    	2.000000	211823    	2.000000	225991    	2.000000	225991    	2.000000	225991    	2.000000	996.472   	2.000000	804.482   	2.000000	2695.62   	2.000000	3986.53   	2.000000	2655.22   	
2.250000	255329    	2.250000	255329    	2.250000	269491    	2.250000	269491    	2.250000	269491    	2.250000	1201.48   	2.250000	953.829   	2.250000	3023.53   	2.250000	4422.35   	2.250000	2992.3    	
2.500000	302774    	2.500000	302732    	2.500000	316470    	2.500000	316470    	2.500000	316470    	2.500000	1425.66   	2.500000	1113.99   	2.500000	3377.5    	2.500000	4890.47   	2.500000	3356.46   	
3.000000	411275    	3.000000	408780    	3.000000	420901    	3.000000	420901    	3.000000	420901    	3.000000	1933.02   	3.000000	1467.34   	3.000000	4163.84   	3.000000	5922.18   	3.000000	4166.66   	
3.500000	534367    	3.500000	529350    	3.500000	539312    	3.500000	539312    	3.500000	539312    	3.500000	2520.57   	3.500000	1865.22   	3.500000	5054.82   	3.500000	7079.23   	3.500000	5086.53   	
4.000000	671797    	4.000000	664100    	4.000000	671665    	4.000000	671665    	4.000000	671665    	4.000000	3189.09   	4.000000	2307.48   	4.000000	6050.37   	4.000000	8359.53   	4.000000	6116.35   	
4.500000	823340    	4.500000	812801    	4.500000	817872    	4.500000	817872    	4.500000	817871    	4.500000	3938.59   	4.500000	2793.32   	4.500000	7150.06   	4.500000	9761.02   	4.500000	7255.9    	
5.000000	988797    	5.000000	975272    	5.000000	977816    	5.000000	977816    	5.000000	977816    	5.000000	4768.65   	5.000000	3321.86   	5.000000	8353.24   	5.000000	11281.6   	5.000000	8504.7    	
5.500000	1.16799e+06	5.500000	1.15135e+06	5.500000	1.15137e+06	5.500000	1.15137e+06	5.500000	1.15137e+06	5.500000	5678.61   	5.500000	3892.23   	5.500000	9658.99   	5.500000	12919.1   	5.500000	9861.91   	
6.000000	1.36074e+06	6.000000	1.34087e+06	6.000000	1.33839e+06	6.000000	1.33839e+06	6.000000	1.33838e+06	6.000000	6667.72   	6.000000	4503.61   	6.000000	11066.5   	6.000000	14671.6   	6.000000	11326.9   	
6.500000	1.56691e+06	6.500000	1.5437e+06	6.500000	1.53874e+06	6.500000	1.53874e+06	6.500000	1.53874e+06	6.500000	7735.19   	6.500000	5155.15   	6.500000	12574.9   	6.500000	16537.1   	6.500000	12898.6   	
7.000000	1.78635e+06	7.000000	1.75971e+06	7.000000	1.75229e+06	7.000000	1.75229e+06	7.000000	1.75229e+06	7.000000	8880.29   	7.000000	5846.14   	7.000000	14183.3   	7.000000	18514.1   	7.000000	14576.5   	
7.500000	2.01893e+06	7.500000	1.98878e+06	7.500000	1.97891e+06	7.500000	1.97891e+06	7.500000	1.97891e+06	7.500000	10102.3   	7.500000	6575.91   	7.500000	15890.9   	7.500000	20600.7   	7.500000	16359.5   	
8.000000	2.26452e+06	8.000000	2.23079e+06	8.000000	2.21849e+06	8.000000	2.21849e+06	8.000000	2.21849e+06	8.000000	11400.6   	8.000000	7343.81   	8.000000	17696.8   	8.000000	22795.5   	8.000000	18246.9   	
8.500000	2.523e+06 	8.500000	2.48564e+06	8.500000	2.47091e+06	8.500000	2.47091e+06	8.500000	2.47091e+06	8.500000	12774.6   	8.500000	8149.11   	8.500000	19600.3   	8.500000	25097.1   	8.500000	20238.1   	
9.000000	2.79427e+06	9.000000	2.75322e+06	9.000000	2.73607e+06	9.000000	2.73607e+06	9.000000	2.73606e+06	9.000000	14223.8   	9.000000	8991.18   	9.000000	21600.7   	9.000000	27504.2   	9.000000	22332.4   	
9.500000	3.07821e+06	9.500000	3.03345e+06	9.500000	3.01386e+06	9.500000	3.01386e+06	9.500000	3.01386e+06	9.500000	15747.7   	9.500000	9869.63   	9.500000	23697.5   	9.500000	30015.6   	9.500000	24529.1   	
10.000000	3.37473e+06	10.000000	3.32641e+06	10.000000	3.30421e+06	10.000000	3.30421e+06	10.000000	3.3042e+06	10.000000	17345.8   	10.000000	10784.3   	10.000000	25889.9   	10.000000	32630.2   	10.000000	26827.6   	
11.000000	4.00513e+06	11.000000	3.95944e+06	11.000000	3.92259e+06	11.000000	3.92255e+06	11.000000	3.9226e+06	11.000000	20769.7   	11.000000	12724.7   	11.000000	30563.3   	11.000000	38169.2   	11.000000	31732     	
12.000000	4.68473e+06	12.000000	4.64082e+06	12.000000	4.59099e+06	12.000000	4.59081e+06	12.000000	4.59101e+06	12.000000	24497.7   	12.000000	14812.9   	12.000000	35620.7   	12.000000	44118     	12.000000	37045.7   	
13.000000	5.41286e+06	13.000000	5.36996e+06	13.000000	5.3088e+06	13.000000	5.30841e+06	13.000000	5.30886e+06	13.000000	28525.8   	13.000000	17044.8   	13.000000	41058.5   	13.000000	50470     	13.000000	42765.3   	
14.000000	6.1889e+06	14.000000	6.14633e+06	14.000000	6.07548e+06	14.000000	6.0748e+06	14.000000	6.07558e+06	14.000000	32850.6   	14.000000	19416.9   	14.000000	46873.4   	14.000000	57219.3   	14.000000	48887.4   	
15.000000	7.01227e+06	15.000000	6.96941e+06	15.000000	6.89048e+06	15.000000	6.88948e+06	15.000000	6.89066e+06	15.000000	37468.6   	15.000000	21927.9   	15.000000	53062     	15.000000	64360.2   	15.000000	55409     	
16.000000	7.88242e+06	16.000000	7.83873e+06	16.000000	7.75329e+06	16.000000	7.75193e+06	16.000000	7.75359e+06	16.000000	42376.5   	16.000000	24575.6   	16.000000	59620.9   	16.000000	71887.1   	16.000000	62326.7   	
