122  0.956097
121  0.905152
120  0.9179
119  0.924074
118  0.924915
117  0.921288
116  0.91963
115  0.92894
114  0.943303
113  0.94859
112  0.960544
111  0.962197
110  0.975612
109  0.971132
108  0.956482
107  0.934778
106  0.940857
105  0.938997
104  0.944499
103  0.948808
102  0.951305
101  0.955026
100  0.960495
99  0.970058
98  0.977176
97  0.986731
96  0.990582
95  0.993232
94  0
93  0
92  0
91  0
90  0
89  0
88  0
87  0
86  0
85  0
84  0
83  0
82  0.899493
81  0.904259
80  0.912422
79  0.913549
78  0.915511
77  0.913961
76  0.910526
75  0.916705
74  0.919671
73  0.920779
72  0.927805
71  0.94105
70  0.941336
69  0.961814
68  0
67  0.977113
66  0.983227
65  0.796185
64  0.799818
63  0.810864
62  0.822114
61  0.834342
60  0.850759
59  0.883859
58  0
57  0.885166
56  0.882684
55  0.882023
54  0.884855
53  0.888769
52  0.894769
51  0.904951
50  0.913171
49  0.919393
48  0.928475
47  0.927567
46  0.938227
45  0.944619
44  0.939538
43  0.938921
42  0.946086
41  0.944149
40  0.949552
39  0.949523
38  0.953459
37  0.957455
36  0.961046
35  0
34  0.96585
33  0.971884
32  0.977531
31  0.978935
30  0.982113
29  0.985363
28  0.997911
27  0.998879
26  0.996693
25  0
24  0.992899
23  0.993846
22  0.992576
21  0.996378
20  0.999588
19  1
