122  60042
121  34262
120  33725
119  35718
118  22287
117  33198
116  34264
115  46404
114  40967
113  39083
112  41908
111  44031
110  42458
109  40990
108  43996
107  41713
106  41479
105  41397
104  40036
103  43086
102  44640
101  47414
100  44203
99  28869
98  34485
97  49620
96  46602
95  35860
65  42306
64  46202
63  49891
62  23915
61  61026
60  53109
59  46829
57  38950
56  43372
55  45093
54  51309
53  46013
52  47804
51  49821
50  61172
49  38613
48  38471
47  32001
46  34162
45  29095
44  28622
43  28005
42  37727
41  27065
40  56622
39  17331
38  58407
37  57732
36  52640
34  70400
33  66726
32  66967
31  67246
30  63661
29  67257
28  12935
27  10452
26  27012
24  28585
23  29809
22  32648
21  57367
20  53224
19  49390
