36 95693
36 98015
36 106517
36 114861
31 61450
31 66260
31 66403
31 70491
31 83285
31 88180
31 104643
31 112518
31 117737
31 118513
31 121306
31 125078
31 137859
31 141946
24 1939
24 6412
24 11432
24 17947
24 25790
24 32027
24 38344
27 824
27 130615
120 18803
120 22684
120 33063
55 6846
55 25518
55 27439
55 41053
55 49217
55 76950
55 82637
109 12048
109 19307
109 29125
109 36281
121 72
121 4425
121 51904
121 63005
121 81474
121 82767
100 1746
100 6648
100 30068
100 43769
100 74033
100 99801
100 104355
111 4604
111 44320
111 60356
111 82136
111 91725
111 102676
64 5158
64 15036
64 28045
64 29847
64 30292
64 32334
64 47883
64 63881
64 74225
64 86165
64 103420
64 113169
112 10662
112 12619
112 18213
112 28467
112 29170
112 37279
112 44394
112 50818
112 64144
112 68833
112 90406
112 94192
101 11320
101 24235
101 24286
101 58496
101 102189
101 111175
101 115105
102 7520
102 31387
102 38516
102 66492
102 73387
102 98430
102 98947
102 102810
102 104311
102 104367
122 7085
122 35350
122 56535
122 90380
122 133466
103 4196
103 22988
103 23772
103 24201
103 28160
103 35588
103 44092
103 65559
103 74384
103 75437
103 94607
103 102328
33 96173
33 135984
58 29484
58 34633
58 38954
58 76754
39 16333
39 25376
39 25480
39 35031
39 40987
115 1120
115 12744
115 15591
115 21000
115 39994
115 95447
96 31540
96 47639
96 52045
96 55509
96 79373
96 79560
96 79641
96 95873
61 156750
49 50107
49 56356
49 76976
49 84122
45 2163
45 4627
45 6517
45 7217
45 13972
45 25444
45 41858
45 66694
53 10171
53 14139
53 47807
53 56147
53 60997
53 61805
53 103985
53 114282
53 115218
21 371
21 11633
21 15380
21 33277
21 34045
21 39676
21 43630
21 50387
21 73491
21 86039
21 88795
21 98598
21 104857
21 123412
62 3898
62 5244
62 32105
62 33443
62 46391
62 62114
116 20874
116 23754
116 67089
116 81861
107 2946
107 15344
107 20973
107 28030
107 28804
107 51764
107 93749
107 99104
118 20670
118 51130
30 28037
30 28640
30 28789
30 59260
30 73907
30 91595
30 94700
30 138608
59 22100
59 40529
59 65934
59 71509
59 72722
59 106352
22 7250
22 7721
22 28934
22 42656
22 42805
22 50765
22 68042
22 73466
40 1870
40 27864
40 36133
40 63065
40 115538
40 118684
40 130037
40 130552
40 131721
97 3509
97 43589
97 48271
97 50418
97 52055
97 58112
97 60531
97 69367
97 70331
97 76489
97 77961
97 85455
97 97443
35 6541
35 11053
35 19636
117 60795
50 36624
50 39842
50 46258
50 67994
50 69553
50 71638
50 80478
50 85253
50 88400
50 105545
50 131992
50 132708
50 141744
50 143487
54 24464
54 26663
54 35140
54 53849
54 54272
54 60519
54 70928
54 100360
54 113911
54 122861
119 6145
119 21282
119 23840
119 30967
119 40895
119 45295
119 62650
23 14045
23 25729
23 31835
23 32313
23 42937
23 55668
23 66143
108 1863
108 3629
108 56233
108 68839
108 89135
108 94202
108 94975
98 4067
98 15054
98 31936
98 51578
98 59451
98 66810
63 19606
63 30011
63 53161
63 60496
63 74791
63 103422
63 111185
63 116634
63 124794
63 132489
99 10773
99 17187
99 53065
99 53070
99 58208
99 65028
99 66611
26 24957
26 42049
110 21980
110 25502
110 27068
110 28492
110 54749
110 68990
110 78438
110 78476
110 93534
36 10378
36 19743
36 22446
36 30658
36 47197
36 61332
36 64090
41 2537
41 9997
41 11624
41 49841
41 53802
41 56886
46 650
46 17151
46 18975
46 37133
46 72547
113 13840
113 37460
113 41911
113 48003
113 65293
113 74587
113 74917
113 95216
104 1848
104 7290
104 23743
104 37875
104 45295
104 59809
104 62398
104 82695
104 89119
19 61139
19 74300
19 98679
19 101234
19 106672
56 9323
56 32480
56 38152
56 44584
56 47605
56 56391
56 62486
56 77820
56 87161
51 10130
51 25097
51 28357
51 30876
51 33708
51 44934
51 50015
51 52803
51 95836
51 97630
51 107457
65 15228
65 28208
65 46399
65 55835
65 61114
65 86426
65 117957
65 118802
65 119498
65 119608
32 23699
32 55942
32 81915
32 101442
37 4976
37 32326
37 34540
37 40554
37 56399
37 60189
37 66412
37 70450
60 11294
60 30360
60 35729
60 89040
60 93652
60 133064
60 136602
47 3907
47 14660
47 23023
47 34846
47 41514
47 46561
47 52892
47 53794
47 67509
47 70877
42 5586
42 19182
42 27265
42 57290
42 63939
42 79251
114 1451
114 13038
114 16375
114 17087
114 25159
114 27138
114 41008
114 55748
114 69119
114 75688
105 7849
105 16516
105 28654
105 36228
105 70514
105 73276
105 76306
105 90070
95 19123
95 26198
95 60457
95 60770
95 67116
95 74444
95 82109
43 7185
43 18998
43 34906
43 37597
43 41189
57 25148
57 28150
57 40908
57 67634
57 70564
57 78156
57 82931
57 88946
20 1924
20 10433
20 12329
20 12455
20 44376
20 50760
20 53050
20 53916
20 64730
20 73717
20 79569
20 94464
20 105562
20 108781
52 15845
52 27194
52 30584
52 35713
52 44858
52 46792
52 52042
52 55882
52 85887
52 88096
52 117972
48 9546
48 30795
48 36179
48 38627
48 42486
48 57183
48 63885
48 64650
29 7202
29 9142
29 29342
29 40314
29 54174
29 64203
29 87369
29 89350
29 93625
29 94904
29 106623
29 119399
29 131177
29 144915
38 1599
38 3259
38 11321
38 54617
38 59415
38 93127
38 105189
38 110546
38 122782
38 136961
44 44137
44 51569
44 53313
44 60023
44 62996
61 15798
61 23524
61 27278
61 29407
61 55919
61 62577
61 78094
61 84649
61 96473
61 102489
61 132607
61 133031
106 6151
106 28479
106 33331
106 38310
106 47802
33 9724
33 11113
33 12267
33 16245
33 16440
33 61090
33 65447
33 67055
33 78559
33 89207
33 91729
