45 35253
48 88860
114 38536
114 93247
114 94467
96 10015
96 63421
44 53559
46 71582
29 10587
31 24280
40 92303
40 99849
40 108741
49 50879
49 78219
106 66864
106 76598
106 81022
20 75824
20 80387
118 15631
30 54254
30 116488
32 71337
32 82160
50 58868
50 100364
98 52214
98 77027
63 16892
42 331
21 51934
21 96605
21 124102
21 125800
100 55170
23 58675
51 92844
51 116614
52 26399
52 110410
64 21009
36 14694
109 50650
102 46314
121 47553
121 80508
53 115892
55 5380
55 26612
55 102382
112 36248
103 89706
110 18032
110 48096
37 114574
56 22197
104 15151
104 70159
122 56270
122 66861
38 12149
38 37588
38 116019
38 119947
