# run  meanStart  sigmaStart  meanEnd  sigmaEnd  (Assuming beam position at 110 mm from pad plane)
19  -8.44094  1.44512  257.312  1.63926
20  -8.85644  1.50738  257.4  1.58251
21  -9.24078  1.59296  257.793  1.60545
22  -9.43089  1.28528  257.578  1.40769
23  -8.95275  1.39333  257.98  1.28768
24  -9.31405  1.43381  257.466  2.29
26  -8.92724  1.18216  257.494  2.99199
27  -7.17063  3.70079  258.002  1.20419
28  -8.56303  2.36167  255.994  1.6111
29  -8.50514  1.48025  256.163  1.73667
30  -8.1086  1.35749  256.751  1.52749
31  -8.15858  1.412  256.637  1.40455
32  -8.62638  1.64859  257.047  1.64283
33  -9.07727  1.48968  257.476  1.71018
34  -9.32891  1.43949  257.645  1.57057
36  -9.5991  1.36981  257.685  1.99952
37  -9.94638  1.7249  257.859  1.64833
38  -9.67771  1.73738  257.622  1.89956
39  -9.64469  1.51445  256.952  2.76243
40  -9.10667  1.70028  257.339  1.56612
41  -9.33652  1.5722  256.757  2.2802
42  -8.81142  1.46405  256.306  2.0107
43  -8.40885  1.58669  256.446  1.48076
44  -8.09048  1.60793  256.917  1.97827
45  -8.64866  1.32599  256.429  1.64352
46  -8.47307  1.52305  256.498  1.39451
47  -8.69296  1.33158  256.236  2.23179
48  -9.11965  1.56074  257.266  1.57634
49  -9.37539  1.36425  257.581  1.86566
50  -9.58687  1.61976  257.822  1.44934
51  -9.80716  1.57472  257.759  1.69702
52  -9.78599  1.65754  258.044  1.54169
53  -10.0371  1.75049  258.073  1.07468
54  -10.0792  1.45159  258.117  1.45543
55  -9.74556  1.60815  257.208  1.80296
56  -9.28466  1.5369  257.128  1.60076
57  -9.26492  1.92591  256.953  1.52338
59  -8.08014  1.54306  256.631  1.69505
60  -8.46653  1.53181  256.851  1.68559
61  -9.48815  1.55107  257.167  1.51082
62  -9.70271  1.52952  257.719  1.79393
63  -9.85227  1.52417  257.857  1.49792
64  -9.9267  1.51881  257.949  1.72232
65  -10.1215  1.48369  258.158  1.70199
66  -7.84753  1.46533  256.351  2.18561
67  -7.74289  1.83291  256.546  1.62332
69  -8.2672  1.71126  256.59  1.93502
70  -8.89997  1.7231  257.468  1.68669
71  -9.0166  1.85171  257.702  1.82334
72  -9.44479  1.58525  257.714  1.87442
73  -9.67862  1.59894  257.71  1.60142
74  -9.90963  1.75621  258.215  1.80676
75  -9.81348  1.7374  258.112  1.94289
76  -9.4554  1.43304  257.911  1.95758
77  -9.13882  1.54453  257.728  1.87092
78  -8.948  1.56569  257.445  2.03761
79  -8.52244  1.59595  257.118  1.76974
80  -8.23902  1.60626  256.989  1.7446
81  -7.97774  1.78618  256.71  1.83412
82  -8.62071  1.45179  256.767  1.70258
95  -13.8059  1.59398  255.368  1.64621
96  -14.134  1.5555  254.789  1.544
97  -14.2214  1.46961  254.941  1.65371
99  -14.1691  1.70123  254.779  1.69399
100  -13.8966  1.48244  254.531  1.56946
101  -13.8408  1.58547  254.324  1.66068
102  -13.7319  1.422  254.193  1.49489
103  -13.6051  1.59903  254.153  1.64749
104  -13.5241  1.69824  254.162  1.6882
105  -13.6776  1.57735  254.349  1.62155
106  -13.8785  1.38209  254.73  1.56432
107  -13.9677  1.45455  254.7  1.63349
110  -16.6633  1.66875  252.612  1.75731
111  -16.4967  1.69842  252.709  1.5229
114  -16.5674  1.55536  252.652  1.59497
115  -16.3249  1.463  252.735  1.56637
117  -16.0136  1.67424  252.109  1.76647
118  -15.459  1.53576  251.891  1.59125
119  -15.4039  1.55428  251.768  1.27164
120  -15.4407  1.44498  251.042  1.67577
122  -18.4118  3.09217  250.75  1.92037
