39 28659
39 32305
39 32566
96 6896
96 18433
96 40768
96 42062
96 47624
62 2916
62 14842
62 30432
118 6428
118 13848
118 18066
118 28022
33 6166
19 46661
43 12633
43 44937
105 24644
105 38860
57 8002
57 16112
114 20846
114 25507
114 35114
114 35671
114 38809
114 42921
62 62541
48 90170
40 17514
114 58570
114 77176
96 53652
96 53661
96 58855
96 62073
96 76402
96 91741
96 99839
105 70698
105 71851
19 92086
119 26531
119 34406
29 67250
29 72072
29 85236
29 88402
29 107948
33 98528
63 44016
44 51151
33 135998
49 21443
119 66152
119 81436
40 110936
59 12036
59 37203
59 48475
29 139699
115 8432
115 44999
106 20464
106 29911
106 36164
97 29405
97 33262
63 58029
63 90578
49 67968
49 77919
45 15502
59 66803
59 74356
59 75467
59 91952
59 92044
120 15652
120 51319
106 99705
30 30780
30 34198
115 106708
115 117019
97 55421
97 64064
97 72316
97 92257
97 95126
59 114625
20 59562
20 62355
20 64676
20 67973
41 36087
120 68857
120 72629
20 110915
64 9920
64 16232
64 51322
107 10607
107 10830
107 37695
34 158478
30 96636
30 115795
60 9431
60 28624
60 48593
60 49422
46 60388
50 80505
50 106676
30 139972
30 146147
42 3623
42 18998
42 19463
42 32521
42 41459
21 37140
107 74588
107 93596
50 140921
42 86129
60 68942
60 70235
60 88228
60 95627
60 100478
64 122277
64 123513
47 45072
47 47823
117 10158
117 33003
117 43333
117 46170
99 13451
99 19054
99 24035
31 8190
31 25576
122 1715
122 18010
122 26007
122 41038
47 61867
21 109460
21 112799
60 119408
117 55421
117 59027
117 78017
51 17854
51 25621
51 51575
65 20431
65 25615
65 29122
31 80626
31 120555
36 71599
122 56456
122 65848
122 94325
122 95370
100 14442
100 41119
100 47519
22 21223
22 52518
61 13317
52 56630
51 58912
51 110703
32 83981
31 126321
31 138189
65 67862
65 71412
65 88207
65 104420
65 112288
65 112792
37 2609
37 4467
37 53742
23 36926
23 51099
100 69167
100 85279
100 91910
100 94220
23 66142
32 123264
32 126948
32 150832
61 56865
61 60476
61 65082
61 84801
110 3475
110 4583
110 13952
110 21164
110 54499
95 2185
95 30426
95 50173
111 20016
111 23160
111 27357
111 32465
111 34838
111 38591
111 40884
111 42274
111 43614
111 51821
26 51453
26 72360
54 36723
54 45803
54 49854
37 73372
102 38644
24 40584
101 20670
61 137835
61 149148
95 64415
95 74150
103 47680
110 60606
110 62930
53 23070
53 43789
53 46839
53 47231
111 55681
111 57118
111 85279
111 107099
102 62001
102 79749
102 97400
55 55520
38 4724
38 10922
38 35589
38 42202
101 56197
101 67168
101 82275
101 89677
103 52498
103 87190
103 98228
101 109865
56 24869
53 91811
55 99770
28 9488
28 63111
104 80489
104 83263
104 90697
104 94982
104 96172
56 85111
