61 161247
63 112966
120 60804
120 61046
120 61127
52 59492
52 60393
103 38906
65 681
65 709
65 1488
55 14104
38 47186
121 70524
121 71112
121 75036
101 47985
60 114423
117 26788
22 70563
22 70661
22 71108
22 75634
102 72073
24 44992
63 68359
63 68569
63 69417
63 71638
22 76972
120 17628
120 18482
44 32289
51 106524
37 107601
37 107859
37 107928
37 108153
100 82095
64 56791
64 58104
63 72971
118 48642
118 50176
61 120321
61 122334
61 122720
61 124192
61 125999
26 389
26 2393
121 1168
121 1877
38 124047
45 50282
103 53433
103 54081
119 79523
119 33489
119 34351
101 21817
121 44300
121 46634
45 12974
26 47634
52 36682
52 37130
52 37847
103 17140
63 122705
63 123433
64 103758
64 106668
54 2282
54 2941
54 3563
119 38489
119 42134
38 19552
38 19801
53 58281
47 48793
47 48994
104 85047
104 88033
122 102509
122 102942
122 102961
95 56884
60 116070
51 9161
51 9220
108 24995
62 34183
99 25995
21 103889
21 104616
43 6441
43 8005
43 8092
117 36628
117 36639
60 121203
60 124525
37 11645
34 185550
38 71663
45 64143
101 74923
103 67153
52 89834
52 90092
52 90156
30 75390
30 77424
113 40730
113 42101
113 44661
42 5794
42 8839
116 31665
36 47247
60 30094
60 30258
60 31512
60 31584
122 116929
122 117660
122 118937
47 63110
95 74694
95 75335
95 76446
28 69419
95 78354
95 81451
56 107134
47 21188
47 22491
56 53829
56 54822
65 45832
54 57917
54 58368
38 81831
101 83028
108 29373
108 32713
51 9708
51 10227
51 10786
51 14209
61 26684
61 26979
23 24370
23 24857
23 28210
43 10532
43 12104
117 38491
60 125861
60 127663
60 127698
37 16360
108 34933
55 63507
54 80790
101 100629
101 103698
38 100820
104 27794
46 60189
103 95097
122 38604
122 39938
122 41574
122 41586
122 42250
27 51175
56 24759
56 26832
56 28039
53 3405
53 3634
53 4536
53 4825
32 30314
32 31531
34 33872
34 37113
59 95930
30 24336
30 25047
30 26856
106 91798
106 92925
110 97916
110 99417
110 99759
41 21008
30 110193
50 98321
116 62559
19 50835
19 52459
31 50706
31 51447
31 55063
48 57160
111 55317
96 56896
19 57364
33 129305
98 9131
98 9479
21 1135
21 1728
21 2127
41 63303
30 65053
113 28143
113 33416
113 34967
50 53061
50 56047
116 23704
98 61860
34 132991
21 56049
107 81175
107 82834
107 84323
107 85717
30 115704
50 108857
32 128962
116 71726
60 72150
60 74862
34 135052
107 3227
19 27555
104 6012
104 7624
104 8991
122 20168
122 23498
54 65150
54 66615
46 42954
46 44254
38 83703
38 84468
38 84861
103 83042
103 83967
105 88532
109 86763
109 87942
109 89436
109 90589
29 83486
29 84177
48 85882
48 90069
64 17690
63 37929
24 9979
24 13514
51 73485
51 73823
51 75398
51 76205
51 76744
37 73714
102 43262
22 14826
63 10455
63 12322
63 13894
61 59668
61 62037
117 73036
100 26172
37 52155
37 52458
99 67577
57 2583
57 3120
29 2747
109 301
109 4594
39 1380
39 3294
39 3729
39 4311
111 2697
33 313
33 406
96 2348
19 2556
19 2803
19 3336
19 3489
48 5863
57 9347
36 124255
62 21001
23 1378
23 8973
117 20012
60 106266
60 110020
34 171017
108 16014
108 19190
21 95430
95 10615
95 12713
95 13502
56 48321
56 50867
55 94969
54 106476
54 109045
38 126223
122 67214
114 21203
19 22086
57 27302
109 27645
48 25993
48 26081
39 26127
111 25856
111 27626
108 21141
108 23020
108 23776
61 9858
61 11206
61 11739
61 13155
99 21560
21 98677
21 99752
21 100632
23 11519
23 11536
23 14600
23 15262
23 15605
23 17936
117 30723
117 30801
101 31900
52 45329
52 45805
52 46458
63 134154
63 134531
64 113112
120 75753
120 76093
120 76626
119 51220
54 9695
54 9824
54 13922
38 30274
38 30797
38 33865
121 58545
121 58568
55 42589
54 53079
38 73790
46 35503
46 35581
61 141350
61 143515
63 93484
63 94876
64 75180
120 38550
120 39788
120 41378
119 9444
119 11613
26 22979
52 12988
37 130794
37 134267
44 56727
44 58193
44 59864
102 104485
102 104491
63 96845
63 99493
37 69954
37 71351
43 66074
43 66428
108 88496
108 89994
53 63630
53 65428
53 65633
95 61723
95 62801
104 94102
33 15445
33 16684
33 18348
96 18199
19 18594
109 21343
48 21658
29 22892
39 22580
105 20914
33 19503
33 23617
120 6885
51 99738
37 101321
122 75358
95 20673
95 20687
95 20953
95 22906
43 24356
117 52747
61 37693
37 31729
37 32365
37 33816
100 5838
108 52334
62 58907
62 61940
62 63274
99 48290
99 50536
23 42887
43 28608
36 76979
36 80978
110 69017
110 70456
59 71000
106 63890
20 54631
20 57892
34 11711
115 69575
97 58784
97 61575
49 76645
49 78400
112 66039
30 756
30 3349
22 44949
108 94461
64 21714
61 82496
61 85834
61 86493
118 18176
42 20350
116 44885
116 47732
32 98903
32 99312
60 43323
98 36154
98 37834
34 105911
34 106408
34 106541
34 107192
21 33047
113 56667
113 57092
107 57985
33 45539
96 45946
96 47508
31 49111
19 46530
40 5196
40 8605
40 9078
105 48320
105 51142
109 50556
29 47386
29 48867
29 49544
57 48870
57 51903
31 129808
31 133225
112 25373
40 91415
20 20786
20 21401
33 134884
33 135595
33 136220
99 4872
50 136802
36 118978
42 77187
117 14397
117 17437
60 102782
20 96522
97 97530
30 36872
30 40428
30 40705
36 5733
36 7847
113 333
113 1385
113 1497
113 8297
113 8644
32 48525
34 54255
21 70993
21 72839
50 123027
32 140537
42 63605
42 64235
36 101355
62 216
62 2466
62 3104
62 4550
117 3460
60 86544
60 87184
60 87695
60 90281
34 148311
34 151928
98 80083
57 40768
114 90278
114 90694
31 86531
31 91018
40 48396
40 48668
109 95590
59 75588
106 67658
97 63879
49 83702
112 70348
30 5665
30 8442
59 76085
51 111285
51 113607
51 115492
100 90054
102 82397
63 77612
63 78471
63 78649
118 30167
61 101807
61 103136
37 94226
51 94161
22 57006
64 41679
63 58672
118 32818
44 25086
119 72870
55 21230
54 36484
38 57145
121 83475
121 83914
46 14986
46 16952
101 57857
101 59034
101 60380
99 16058
99 17433
99 18898
56 63816
55 106151
55 107113
55 107785
55 109324
53 40016
53 43110
122 85029
95 30860
95 31395
55 110650
54 128854
120 47571
38 1785
101 5654
101 7288
121 29629
26 30801
26 31877
26 32633
52 21420
52 22723
52 22909
103 686
103 1671
103 1790
61 154605
63 110351
64 88142
64 47230
64 48281
118 39312
24 39005
24 42051
120 10351
120 10559
120 11066
120 13297
61 114128
61 115354
61 116281
51 102184
122 57724
122 60894
47 10203
53 22396
53 22710
55 87432
55 88166
55 90044
65 79591
65 82248
65 85468
55 73617
55 75603
54 88207
54 89722
38 109602
46 69338
46 69814
122 48691
55 77142
95 35586
104 71568
104 72824
122 89396
56 72977
56 73012
95 39617
53 50318
53 52468
65 112021
65 113309
65 113890
65 114390
65 120988
47 32629
104 11618
104 12089
104 12198
104 13465
104 14096
52 103444
52 105463
55 54599
101 93134
101 95045
46 47614
46 48176
46 50965
46 51142
38 87324
38 89450
38 89472
38 89737
103 84647
104 14518
122 29252
122 30264
122 32198
122 32959
52 108197
52 110414
96 93249
33 94311
33 94336
19 92346
57 93428
29 88240
111 95609
114 95137
65 55951
56 17663
54 72817
54 73498
54 74740
101 96931
46 54883
38 93953
103 89498
103 91323
103 91643
29 33336
39 34602
39 36619
39 38193
48 35242
111 37675
33 33769
19 37177
19 38446
19 38977
19 39148
31 37870
60 64312
60 66258
34 126652
113 75917
113 78052
113 78403
113 82904
21 50234
21 52576
107 78401
107 78847
107 80674
30 111969
42 45874
42 46317
116 69413
20 88390
20 88584
20 91919
97 94025
30 33539
59 105115
59 108114
36 3422
112 101954
50 21036
115 105439
115 107662
37 79559
102 50754
23 60524
23 65254
63 14776
63 16681
63 17651
63 17904
100 32187
37 53603
51 56932
102 27776
22 21058
108 72471
108 74157
108 75376
64 3999
117 81098
21 119733
23 34687
23 34886
23 36534
43 19791
48 38455
111 39244
111 43226
33 39717
96 43131
114 40014
114 41167
19 39708
109 43374
109 44507
109 47650
57 45885
29 42381
29 45622
48 46423
111 47509
111 47814
122 138680
122 141331
122 141769
53 106561
53 107353
96 98717
29 92479
29 93586
114 97523
33 47468
33 48785
33 52139
33 123558
31 122609
31 125238
97 14825
97 17133
115 24388
112 21391
112 22450
59 29883
59 30002
40 88541
20 18469
50 89609
50 90536
116 55407
36 68642
36 69679
36 71745
60 54353
60 54690
63 79624
118 52494
118 53563
120 26220
51 119468
26 7339
44 44004
44 45306
99 36241
99 36261
21 114512
117 44799
34 190707
37 19869
37 21621
37 22953
61 29905
61 32608
51 20881
51 21849
108 43056
99 39857
99 41748
98 17983
59 2000
40 60301
40 61034
96 103118
33 103245
29 97306
32 27866
115 89439
20 73331
20 73679
20 74835
20 75034
97 79499
59 94359
30 21243
106 91179
50 6798
50 8075
110 94828
41 18723
41 18995
21 92477
50 142831
99 9830
99 10842
99 13648
99 14332
29 64116
109 63940
57 63507
111 63112
48 62713
96 65237
40 23866
40 26398
105 66106
105 66255
105 66403
105 68425
31 65085
109 67668
109 71269
97 24617
115 35874
49 44899
112 32143
40 95738
59 39143
59 39150
106 36231
64 89944
120 52323
120 54354
120 54672
103 35126
52 57051
119 57330
55 6219
55 6473
55 8772
55 9344
54 20354
38 39156
38 40614
38 42665
45 33590
45 33801
63 20529
63 22034
63 23862
61 70326
43 51495
100 33502
100 33986
51 61438
51 62352
37 58986
102 31174
102 32882
64 8003
64 9526
104 49831
104 50191
28 3135
64 79017
37 136995
121 27754
26 26352
26 28240
52 15338
52 18047
44 65933
64 82785
64 85077
64 85665
64 87304
101 80087
65 33291
65 37075
65 40661
65 43502
105 98825
31 92449
110 83701
34 24875
115 81504
20 70218
97 75519
97 77002
30 18012
59 89412
50 1781
109 28845
29 27876
29 28824
29 29400
29 29575
48 29651
44 49106
102 91114
102 92834
102 93222
63 89870
63 90467
64 69750
64 70110
120 33229
119 5595
119 5873
119 7287
119 7715
52 8254
52 9513
102 95862
102 99145
37 41005
102 13692
51 38850
51 42330
108 59377
23 47650
23 52330
63 6775
63 8431
99 62009
117 66052
117 67249
41 1447
41 2756
32 14664
97 68597
97 70110
97 70923
49 87930
49 89553
112 72392
112 73824
112 75985
112 76911
59 80818
59 81622
59 83419
106 80530
106 80909
47 25504
47 26112
47 26835
53 34842
53 37378
55 101804
55 103758
54 116780
54 117831
54 118165
54 119280
122 80305
122 80519
65 101504
65 102736
65 106273
65 107252
109 42601
109 42868
29 39584
21 22265
107 48704
113 49009
113 50293
30 84825
42 16027
32 96889
116 39601
116 40116
36 55286
36 56667
60 38511
60 39909
98 30411
98 32152
34 102576
21 27575
50 43283
116 12080
116 12723
116 13083
60 9854
60 10834
60 13687
32 66456
41 52762
41 53792
117 51273
60 134177
60 135895
60 137862
37 25747
51 28290
62 52023
62 54045
62 56911
99 46643
21 123261
21 124026
122 105706
56 91727
95 63632
95 68015
53 68256
122 109648
122 110801
122 112671
56 96317
56 97479
95 72383
37 103116
100 79321
22 66482
22 69834
22 69952
97 88195
59 99719
59 102352
59 104348
50 16029
32 39419
41 26507
115 100799
115 104949
97 107372
97 110211
116 2495
60 105
60 2565
60 3583
60 3976
36 17166
113 16003
32 56897
41 46222
107 14811
107 18662
20 107927
20 108450
20 109529
21 40751
113 66616
113 73139
30 105276
30 105829
42 36273
50 93806
32 150194
50 132169
36 110421
36 112191
42 72858
42 73216
60 96504
117 12656
34 158217
34 158736
34 161715
108 8334
21 83337
21 87493
62 15382
62 17290
115 97263
20 83721
20 86511
110 42258
110 42419
20 24437
20 28882
33 140585
29 134193
29 136347
59 14414
59 17098
40 71626
40 72355
110 18824
33 114891
29 114623
97 7895
97 8778
115 14759
115 15370
115 16128
49 26574
49 27171
112 12678
112 13695
20 7943
20 8226
20 8613
106 15048
40 77378
40 80083
34 74799
34 75437
107 26058
107 26873
107 27191
50 52053
36 36310
36 36404
21 9543
107 37528
