99 15555
58 3180
104 81723
19 78591
101 46708
101 76604
51 53762
51 81293
51 110926
60 1865
60 103128
37 75875
47 1152
100 15289
100 81485
100 81866
57 39780
57 48968
57 68454
95 2224
95 77084
97 84809
97 90885
97 111911
97 113238
52 38700
52 78026
61 56829
61 102636
38 79294
38 138294
28 83187
28 106413
106 65789
106 94340
23 31572
98 50596
98 66817
49 32871
24 632
21 11051
114 100181
108 8812
63 7989
29 15004
22 45685
55 77838
119 46749
50 46567
32 4228
32 130544
41 55171
115 66504
43 45180
109 48352
109 98163
64 53059
44 38075
42 8782
121 34909
111 58778
111 93324
117 46997
112 59488
33 41620
33 41960
33 106379
33 106792
33 142604
33 151707
36 45653
36 75829
122 71362
122 72189
122 124857
