run,entry,type,status
60,32204,Binary,True
60,32327,Binary,True
60,32437,Other,False
60,32813,Other,False
60,33043,Other,False
60,33234,Other,False
60,33249,Other,False
60,33254,Binary,True
60,33698,Other,False
60,33799,Binary,True
60,33985,Other,False
60,34051,Other,False
60,34059,Other,False
60,34076,Other,False
60,34080,Other,False
60,34138,Other,False
60,34460,Binary,True
60,34551,Other,False
60,34695,Binary,True
60,34714,Other,False
60,34720,Binary,True
60,34952,Binary,True
60,35043,Multi,True
60,35077,Other,False
60,35122,Binary,True
60,35301,Other,False
60,35382,Binary,True
60,35413,Other,False
60,35483,Other,False
60,35560,Other,False
60,35704,Binary,True
60,35729,Binary,True
60,35815,Other,False
60,35823,Binary,True
60,36070,Other,False
60,36081,Other,False
60,36232,Other,False
60,36342,Binary,True
60,36366,Other,False
60,36471,Other,False
60,36602,Other,False
60,36615,Other,False
60,36799,Other,False
60,36932,Other,False
60,36995,Binary,True
60,37129,Binary,True
60,37156,Other,False
60,37358,Other,False
60,37431,Binary,True
60,37442,Other,False
60,37712,Other,False
60,37936,Binary,True
60,37941,Other,False
60,38241,Other,False
60,38511,Other,False
60,38569,Other,False
60,38773,Other,False
60,38789,Binary,True
60,38842,Binary,True
60,38991,Multi,True
60,39145,Other,False
60,39257,Binary,True
60,39329,Binary,True
60,39487,Binary,True
60,39577,Other,False
60,39599,Other,False
60,39620,Other,False
60,39644,Other,False
60,39994,Other,False
60,40036,Other,False
60,40171,Other,False
60,40247,Multi,True
60,40280,Other,False
60,40423,Binary,True
60,40867,Other,False
60,40926,Other,False
60,40939,Other,False
60,40946,Other,False
60,41006,Binary,True
60,41198,Other,False
60,41311,Binary,True
60,41361,Multi,True
60,41365,Other,False
60,41451,Other,False
60,41457,Other,False
60,41467,Other,False
60,41528,Other,False
60,41677,Binary,True
60,41744,Other,False
60,41987,Other,False
60,42163,Other,False
60,42193,Other,False
60,42258,Binary,True
60,42564,Other,False
60,42572,Binary,True
60,42643,Other,False
60,42917,Binary,True
60,42945,Other,False
60,43285,Multi,True
60,43397,Other,False
60,43427,Other,False
60,43465,Binary,True
60,43549,Other,False
60,43556,Other,False
60,43642,Binary,True
60,43698,Binary,True
60,43723,Binary,False
60,43726,Other,False
60,43881,Other,False
60,43909,Other,False
60,44035,Binary,True
60,44097,Binary,False
60,44178,Other,False
60,44390,Other,False
60,44451,Other,False
60,44484,Other,False
60,44750,Other,False
60,44756,Binary,True
60,44839,Other,False
60,44861,Other,False
60,44864,Other,False
60,44896,Other,False
60,44927,Other,False
60,44997,Multi,True
60,45076,Binary,True
60,45092,Binary,True
60,45192,Binary,True
60,45203,Other,False
60,45409,Other,False
60,45411,Other,False
60,45694,Other,False
60,45750,Binary,True
60,45798,Binary,True
60,46115,Binary,True
60,46185,Binary,True
60,46249,Other,False
60,46528,Other,False
60,46577,Other,False
60,46750,Multi,True
60,46962,Other,False
60,47032,Other,False
60,47309,Other,False
60,47411,Other,False
60,47529,Other,False
60,47751,Binary,True
60,47825,Multi,True
60,47950,Binary,True
60,48085,Other,False
60,48202,Other,False
60,48225,Multi,True
60,48260,Binary,True
60,48367,Other,False
60,48431,Other,False
60,48510,Other,False
60,48521,Other,False
60,48558,Other,False
60,48809,Other,False
60,48836,Other,False
60,48892,Other,False
60,49095,Other,False
60,49149,Binary,True
60,49596,Other,False
60,49640,Other,False
60,49697,Other,False
60,49754,Other,False
60,49821,Other,False
60,49879,Other,False
60,49916,Other,False
60,49993,Other,False
60,50249,Other,False
60,50313,Other,False
60,50362,Other,False
60,50378,Binary,True
60,50514,Binary,True
60,50560,Other,False
60,50848,Multi,True
60,50914,Other,False
60,51041,Binary,True
60,51049,Other,False
60,51146,Other,False
60,51304,Binary,True
60,51411,Other,False
60,51453,Other,False
60,51593,Binary,True
60,51709,Multi,True
60,51762,Other,False
60,51899,Binary,True
60,52002,Multi,False
60,52066,Multi,False
60,52121,Other,False
60,52218,Other,False
60,52242,Other,False
60,52244,Binary,True
60,52307,Other,False
60,52327,Other,False
60,52874,Other,False
60,53355,Binary,True
60,53571,Other,False
60,53594,Other,False
60,53643,Other,False
60,53658,Binary,False
60,53710,Binary,True
60,53788,Binary,True
60,53806,Other,False
60,53825,Other,False
60,53871,Binary,True
60,54086,Multi,True
60,54127,Binary,True
60,54173,Binary,True
60,54250,Binary,True
60,54260,Binary,True
60,54330,Other,False
60,54348,Other,False
60,54353,Other,False
60,54484,Other,False
60,54506,Binary,True
60,54661,Binary,True
60,54678,Other,False
60,54711,Other,False
60,54796,Binary,True
60,54811,Other,False
60,54895,Other,False
60,55044,Binary,True
60,55082,Other,False
60,55089,Binary,True
60,55097,Multi,True
60,55099,Other,False
60,55221,Binary,True
60,55258,Other,False
60,55260,Other,False
60,55363,Other,False
60,55379,Other,False
60,55565,Binary,True
60,55822,Other,False
60,55848,Other,False
60,55879,Binary,True
60,55983,Other,False
60,56031,Other,False
60,56103,Other,False
60,56108,Other,False
60,56169,Binary,True
60,56280,Other,False
60,56304,Other,False
60,56383,Other,False
60,56404,Other,False
60,56673,Binary,True
60,56680,Binary,True
60,56720,Binary,True
60,57088,Binary,True
60,57294,Binary,True
60,57402,Multi,True
60,57410,Other,False
60,57603,Other,False
60,57746,Other,False
60,57758,Other,False
60,57953,Multi,True
60,57984,Other,False
60,57990,Multi,True
60,58002,Binary,False
60,58066,Other,False
60,58343,Binary,True
60,58374,Other,False
60,58433,Other,False
60,58467,Other,False
60,58672,Other,False
60,58748,Other,False
60,58844,Other,False
60,59068,Other,False
60,59147,Other,False
60,59189,Binary,True
60,59271,Other,False
60,59423,Multi,True
60,59437,Other,False
60,59493,Other,False
60,59520,Multi,False
60,59635,Other,False
60,59645,Other,False
60,59737,Other,False
60,59745,Binary,True
60,59929,Other,False
60,59943,Other,False
60,59975,Binary,True
60,60090,Other,False
60,60129,Binary,True
60,60416,Binary,True
60,60432,Multi,True
60,60448,Binary,True
60,60511,Other,False
60,60728,Multi,True
60,60754,Other,False
60,61071,Other,False
60,61073,Other,False
60,61227,Binary,True
60,61306,Other,False
60,61419,Other,False
60,61562,Other,False
60,61566,Binary,True
60,61644,Binary,False
60,61715,Other,False
60,61757,Binary,True
60,62030,Binary,True
60,62342,Other,False
60,62393,Other,False
60,62866,Multi,True
60,62894,Other,False
60,62902,Other,False
60,63107,Multi,True
60,63122,Binary,True
60,63183,Other,False
60,63392,Other,False
60,63475,Binary,True
60,63489,Other,False
60,63509,Other,False
60,63637,Multi,True
60,63678,Other,False
60,63691,Binary,True
60,63902,Other,False
60,63917,Other,False
60,63940,Other,False
60,64020,Other,False
60,64021,Binary,True
60,64052,Other,False
60,64110,Binary,True
60,64140,Multi,True
60,64184,Binary,True
60,64218,Other,False
60,64265,Other,False
60,64360,Other,False
60,64557,Other,False
60,64637,Other,False
60,64679,Other,False
60,64697,Binary,True
60,64798,Binary,True
60,64851,Other,False
60,64971,Other,False
60,64973,Other,False
60,65061,Other,False
60,65146,Multi,True
60,65407,Binary,True
60,65503,Binary,True
60,65814,Other,False
60,65924,Other,False
60,65947,Other,False
60,66022,Multi,False
60,66258,Other,False
60,66631,Binary,True
60,66643,Other,False
60,66690,Multi,True
60,66709,Binary,True
60,66822,Other,False
60,67096,Other,False
60,67139,Other,False
60,67197,Other,False
60,67214,Other,False
60,67268,Other,False
60,67310,Binary,True
60,67392,Binary,True
60,67438,Binary,True
60,67596,Other,False
60,67772,Other,False
60,67807,Binary,True
60,67843,Other,False
60,67955,Other,False
60,67979,Other,False
60,67995,Other,False
60,68037,Binary,False
60,68697,Other,False
60,68708,Other,False
60,68753,Binary,True
60,68779,Other,False
60,68795,Other,False
60,68805,Other,False
60,68868,Other,False
60,69126,Other,False
60,69130,Other,False
60,69210,Other,False
60,69264,Other,False
60,69560,Binary,True
60,69629,Other,False
60,69740,Binary,True
60,69929,Other,False
60,69984,Multi,True
60,70004,Other,False
60,70080,Binary,True
60,70084,Other,False
60,70116,Other,False
60,70336,Other,False
60,70362,Binary,True
60,70431,Binary,True
60,70592,Binary,True
60,70683,Other,False
60,70786,Other,False
60,70823,Other,False
60,70850,Other,False
60,70872,Other,False
60,71064,Other,False
60,71086,Binary,True
60,71147,Other,False
60,71230,Other,False
60,71388,Multi,True
60,71748,Other,False
60,71894,Other,False
60,72021,Binary,True
60,72131,Other,False
60,72150,Other,False
60,72194,Binary,True
60,72202,Other,False
60,72357,Other,False
60,72466,Other,False
60,72584,Other,False
60,72599,Other,False
60,72601,Other,False
60,72727,Other,False
60,73186,Multi,False
60,73269,Binary,True
60,73270,Other,False
60,73382,Other,False
60,73439,Binary,False
60,73522,Other,False
60,73541,Other,False
60,73548,Binary,True
60,73554,Other,False
60,73786,Other,False
60,73819,Other,False
60,73912,Other,False
60,74253,Binary,True
60,74352,Other,False
60,74415,Other,False
60,74485,Other,False
60,74598,Other,False
60,74645,Other,False
60,74862,Other,False
60,74921,Other,False
60,75179,Other,False
60,75318,Other,False
60,75509,Other,False
60,75534,Binary,False
60,75656,Other,False
60,75693,Other,False
60,75699,Binary,True
60,75739,Other,False
60,75759,Other,False
60,75785,Other,False
60,75835,Other,False
60,75918,Other,False
60,75929,Binary,True
60,76174,Other,False
60,76230,Binary,False
60,76262,Other,False
60,76412,Binary,True
60,76619,Multi,True
60,76626,Multi,True
60,76757,Other,False
60,76953,Binary,True
60,77020,Other,False
60,77199,Binary,True
60,77204,Binary,True
60,77383,Other,False
60,77491,Other,False
60,77522,Other,False
60,77623,Other,False
60,77729,Other,False
60,77759,Binary,True
60,77806,Binary,True
60,77836,Other,False
60,77934,Other,False
60,78057,Other,False
60,78469,Binary,True
60,78515,Other,False
60,78614,Other,False
60,78730,Other,False
60,78735,Other,False
60,78759,Other,False
60,78818,Other,False
60,78834,Other,False
60,78909,Multi,True
60,79023,Other,False
60,79332,Binary,True
60,79351,Other,False
60,79520,Other,False
60,79549,Other,False
60,79578,Other,False
60,79599,Other,False
60,79667,Binary,True
60,79669,Other,False
60,79960,Other,False
60,80221,Other,False
60,80305,Multi,True
60,80388,Other,False
60,80486,Other,False
60,80866,Other,False
60,80906,Other,False
60,80957,Binary,True
60,81066,Multi,False
60,81097,Binary,True
60,81162,Other,False
60,81182,Binary,True
60,81192,Binary,True
60,81242,Other,False
60,81257,Binary,True
