Sil_r0_0_E -0.00542145 0.00237214
Sil_r0_0_P 124.81531903 11.91912398
Sil_r0_1_E 0.01851161 0.00250433
Sil_r0_1_P 123.16543969 11.19160975
Sil_r0_2_E 0.00000000 0.00000000
Sil_r0_2_P 254.08246395 2.33921581
Sil_r0_3_E -0.07700014 0.00259321
Sil_r0_3_P 142.32829202 10.92071940
Sil_r0_4_E 0.03066087 0.00237010
Sil_r0_4_P 122.99203234 15.32169267
Sil_r0_5_E -0.26021974 0.00265964
Sil_r0_5_P 257.11821823 15.97147581
Sil_r0_6_E -0.34959163 0.00227473
Sil_r0_6_P 269.19764054 12.33484260
Sil_r0_7_E 0.02257764 0.00248767
Sil_r0_7_P 118.44461719 6.78619184
Sil_r0_8_E 0.07872883 0.00237762
Sil_r0_8_P 139.36777265 11.44209472
Sil_r0_9_E -0.30749467 0.00212446
Sil_r0_9_P 269.53081300 24.68861780
Sil_r0_10_E -0.37121448 0.00260789
Sil_r0_10_P 268.80679349 10.05918571
Sil_r0_11_E -0.25525096 0.00265184
Sil_r0_11_P 257.10975711 13.52571183
