Sil_l0_0_E 7.16128781 -0.00086081
Sil_l0_0_P 252.59392404 23.24507906
Sil_l0_1_E -0.33651831 0.00252088
Sil_l0_1_P 255.27620216 4.74815426
Sil_l0_2_E -0.30373057 0.00257919
Sil_l0_2_P 243.37844946 14.73386755
Sil_l0_3_E -0.17126113 0.00265530
Sil_l0_3_P 242.50411270 11.11039110
Sil_l0_4_E -0.32821409 0.00257320
Sil_l0_4_P 239.58988290 4.73580102
Sil_l0_5_E -0.33321721 0.00245781
Sil_l0_5_P 259.76916885 9.68876717
Sil_l0_6_E -0.39219661 0.00256265
Sil_l0_6_P 255.52139310 8.20153817
Sil_l0_7_E 0.35167281 0.00257707
Sil_l0_7_P 186.46050553 11.35625795
Sil_l0_8_E -0.37529077 0.00266512
Sil_l0_8_P 264.54965679 8.53218846
Sil_l0_9_E -0.34404608 0.00240684
Sil_l0_9_P 254.51297359 14.69281109
Sil_l0_10_E -0.39889874 0.00249141
Sil_l0_10_P 269.33548507 14.71474204
Sil_l0_11_E -0.34479716 0.00247110
Sil_l0_11_P 266.55901197 14.53079895
